04-09,BOS-DET,113-103,Team,
30-16,25-31,36-27,22-29,
BOS
Evan Turner,F,29:08,2,5,0.400,0,2,0.000,0,0,0.000,0,2,2,4,1,0,3,1,4,-18.000
Brandon Bass,F,20:47,5,7,0.714,0,1,0.000,6,6,1.000,2,2,4,1,1,0,0,2,16,-10.000
Tyler Zeller,C,21:18,2,7,0.286,0,0,0.000,2,2,1.000,2,5,7,0,0,0,3,1,6,6.000
Avery Bradley,G,34:30,4,14,0.286,3,9,0.333,0,0,0.000,0,5,5,3,2,0,2,0,11,15.000
Marcus Smart,G,28:59,1,5,0.200,1,4,0.250,0,0,0.000,0,0,0,1,2,0,0,3,3,-8.000
Isaiah Thomas,,29:47,10,16,0.625,4,8,0.500,10,11,0.909,2,1,3,6,0,0,2,0,34,35.000
Jae Crowder,,29:45,4,8,0.500,0,1,0.000,9,9,1.000,0,6,6,3,2,0,1,1,17,23.000
Kelly Olynyk,,18:21,5,9,0.556,0,1,0.000,2,2,1.000,2,2,4,2,2,0,0,5,12,5.000
Jonas Jerebko,,16:56,2,4,0.500,0,1,0.000,2,2,1.000,1,3,4,0,1,2,0,2,6,11.000
Jared Sullinger,,10:29,1,5,0.200,0,1,0.000,2,2,1.000,1,1,2,0,1,0,0,0,4,-9.000
DET
Caron Butler,F,17:18,0,5,0.000,0,4,0.000,0,0,0.000,0,5,5,1,0,0,0,1,0,-1.000
Greg Monroe,F,30:39,9,14,0.643,0,0,0.000,1,2,0.500,5,5,10,1,3,2,3,4,19,21.000
Andre Drummond,C,27:16,11,19,0.579,0,1,0.000,0,3,0.000,6,8,14,0,0,1,4,4,22,-11.000
Reggie Jackson,G,37:35,10,18,0.556,1,2,0.500,0,0,0.000,0,2,2,15,2,0,7,2,21,10.000
Anthony Tolliver,,19:11,1,4,0.250,0,3,0.000,1,1,1.000,0,2,2,1,0,0,0,4,3,-17.000
Joel Anthony,,5:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,1,0,-15.000
John Lucas III,,10:25,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,3,0,0,1,0,0,-20.000
Jodie Meeks,,29:08,4,4,1.000,3,3,1.000,2,2,1.000,0,2,2,2,0,1,0,2,13,-6.000
Tayshaun Prince,,26:26,7,8,0.875,1,1,1.000,0,0,0.000,0,4,4,3,1,1,2,1,15,-9.000
