04-20,BKN-ATL,92-99,Playoff,
20-32,25-23,17-19,30-25,
BKN
Joe Johnson,F,41:49,6,17,0.353,0,6,0.000,5,8,0.625,0,6,6,6,2,0,0,3,17,-4.000
Thaddeus Young,F,39:31,7,16,0.438,0,1,0.000,1,2,0.500,5,5,10,3,1,0,4,2,15,4.000
Brook Lopez,C,35:58,6,7,0.857,0,0,0.000,5,6,0.833,6,8,14,0,2,0,0,3,17,-5.000
Markel Brown,G,5:35,2,3,0.667,0,1,0.000,0,0,0.000,1,0,1,0,0,0,2,0,4,-6.000
Deron Williams,G,32:48,5,11,0.455,2,4,0.500,1,1,1.000,0,4,4,2,0,0,2,4,13,-7.000
Bojan Bogdanovic,,31:60,2,8,0.250,1,5,0.200,0,0,0.000,0,4,4,2,0,0,2,2,5,-7.000
Jarrett Jack,,16:28,5,8,0.625,0,0,0.000,3,3,1.000,0,2,2,2,1,0,5,3,13,2.000
Earl Clark,,8:17,1,6,0.167,1,2,0.500,0,0,0.000,0,1,1,0,1,0,0,1,3,-11.000
Alan Anderson,,15:33,2,3,0.667,1,1,1.000,0,0,0.000,0,1,1,1,1,0,1,1,5,-1.000
Mason Plumlee,,12:01,0,0,0.000,0,0,0.000,0,2,0.000,0,4,4,2,0,0,1,0,0,0.000
ATL
DeMarre Carroll,F,33:29,5,12,0.417,2,6,0.333,5,5,1.000,2,6,8,3,0,0,0,3,17,7.000
Paul Millsap,F,32:45,2,11,0.182,0,1,0.000,2,2,1.000,0,7,7,2,2,1,0,4,6,-2.000
Al Horford,C,33:48,5,12,0.417,0,2,0.000,0,0,0.000,2,8,10,2,0,1,2,1,10,13.000
Kyle Korver,G,37:12,6,12,0.500,5,11,0.455,4,5,0.800,0,7,7,3,2,1,2,0,21,13.000
Jeff Teague,G,29:02,6,12,0.500,1,2,0.500,4,4,1.000,0,0,0,3,1,0,4,4,17,2.000
Pero Antic,,18:52,2,4,0.500,1,3,0.333,3,3,1.000,1,2,3,1,0,0,0,4,8,10.000
Kent Bazemore,,16:04,0,2,0.000,0,1,0.000,0,0,0.000,0,3,3,1,1,0,0,2,0,-3.000
Dennis Schroder,,24:21,5,9,0.556,1,3,0.333,2,2,1.000,0,0,0,2,1,0,4,2,13,-6.000
Shelvin Mack,,3:52,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,2,2,0,0,0,2,8.000
Mike Scott,,10:35,2,3,0.667,0,0,0.000,1,1,1.000,1,0,1,0,2,0,2,1,5,-7.000
