05-20,HOU-GSW,106-110,Playoff,
31-24,24-34,24-26,27-26,
HOU
Trevor Ariza,F,34:00,7,10,0.700,4,5,0.800,2,2,1.000,1,2,3,2,2,0,1,1,20,1.000
Josh Smith,F,27:04,6,16,0.375,2,6,0.333,3,4,0.750,1,6,7,5,0,3,3,1,17,-5.000
Dwight Howard,C,26:10,3,7,0.429,0,0,0.000,1,4,0.250,4,9,13,2,1,1,5,3,7,-4.000
James Harden,G,41:50,11,20,0.550,1,3,0.333,5,6,0.833,2,9,11,9,4,0,5,4,28,-3.000
Jason Terry,G,27:17,2,9,0.222,1,4,0.250,2,2,1.000,2,0,2,3,0,0,1,3,7,-8.000
Terrence Jones,,25:58,2,10,0.200,0,2,0.000,1,4,0.250,3,1,4,1,0,1,0,0,5,-5.000
Pablo Prigioni,,14:58,2,3,0.667,0,1,0.000,0,0,0.000,0,1,1,4,0,0,0,1,4,10.000
Clint Capela,,12:58,4,4,1.000,0,0,0.000,1,2,0.500,1,3,4,1,1,1,0,1,9,-1.000
Corey Brewer,,29:45,3,7,0.429,0,1,0.000,3,4,0.750,0,2,2,0,0,0,0,5,9,-5.000
GSW
Harrison Barnes,F,32:55,6,12,0.500,2,6,0.333,0,0,0.000,1,0,1,1,2,0,2,3,14,14.000
Draymond Green,F,42:47,6,13,0.462,0,3,0.000,1,2,0.500,4,8,12,8,2,1,3,2,13,10.000
Andrew Bogut,C,16:16,0,3,0.000,0,0,0.000,0,0,0.000,2,2,4,0,1,0,0,3,0,-3.000
Klay Thompson,G,32:58,6,18,0.333,1,7,0.143,2,2,1.000,0,2,2,4,1,1,2,5,15,-2.000
Stephen Curry,G,39:25,13,22,0.591,6,11,0.545,2,3,0.667,0,6,6,5,2,0,1,3,34,11.000
Andre Iguodala,,23:14,2,4,0.500,0,0,0.000,0,3,0.000,0,1,1,4,0,0,0,3,4,-13.000
David Lee,,4:24,1,3,0.333,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,0,2,-7.000
Shaun Livingston,,28:43,6,8,0.750,0,0,0.000,6,6,1.000,2,5,7,3,1,0,2,2,18,16.000
Festus Ezeli,,11:16,2,4,0.500,0,0,0.000,2,4,0.500,2,2,4,1,0,1,2,1,6,-4.000
Leandro Barbosa,,8:02,1,5,0.200,1,2,0.500,1,2,0.500,2,1,3,1,0,0,0,1,4,-2.000
