10-13,GSW-LAL,116-75,Preseason,
39-13,24-23,37-24,16-15,
GSW
Andre Iguodala,,21,2,6,0.333,0,2,0.000,0,0,0.000,0,2,2,8,1,0,0,1,4,0
Andrew Bogut,,21,1,2,0.500,0,0,0.000,1,4,0.250,2,5,7,4,1,0,1,1,3,0
Brandon Rush,,17,1,6,0.167,1,5,0.200,2,3,0.667,1,3,4,0,0,0,2,1,5,0
David Lee,,22,6,9,0.667,0,0,0.000,2,2,1.000,1,2,3,6,1,0,1,1,14,0
Draymond Green,,22,2,5,0.400,0,2,0.000,3,4,0.750,0,5,5,4,2,0,0,2,7,0
Harrison Barnes,,22,4,7,0.571,0,2,0.000,0,0,0.000,0,3,3,1,2,2,0,1,8,0
James Michael McAdoo,,4,0,0,0.000,0,0,0.000,1,2,0.500,0,0,0,0,0,0,1,1,1,0
Jason Kapono,,5,1,2,0.500,0,1,0.000,1,2,0.500,0,1,1,0,0,0,1,0,3,0
Justin Holiday,,5,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0
Klay Thompson,,26,5,10,0.500,4,8,0.500,2,3,0.667,0,1,1,2,1,1,1,1,16,0
Leandro Barbosa,,16,2,3,0.667,1,2,0.500,1,2,0.500,0,2,2,1,1,0,0,2,6,0
Marreese Speights,,14,4,5,0.800,1,1,1.000,2,2,1.000,2,1,3,0,0,1,1,1,11,0
Nemanja Nedovic,,9,2,3,0.667,2,2,1.000,1,2,0.500,0,0,0,1,2,0,2,0,7,0
Ognjen Kuzmic,,14,3,3,1.000,0,0,0.000,0,0,0.000,2,4,6,0,0,0,5,5,6,0
Stephen Curry,,24,8,11,0.727,4,7,0.571,5,5,1.000,1,5,6,6,2,1,3,2,25,0
LAL
Carlos Boozer,,17,4,10,0.400,0,0,0.000,2,2,1.000,2,2,4,0,0,0,0,1,10,0
Jabari Brown,,3,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,0
Jeremy Tyler,,11,3,5,0.600,0,0,0.000,0,0,0.000,2,3,5,1,0,1,0,3,6,0
Jordan Hill,,21,3,8,0.375,0,0,0.000,2,2,1.000,4,3,7,2,0,1,0,3,8,0
Julius Randle,,19,2,7,0.286,0,0,0.000,0,1,0.000,1,5,6,0,0,0,3,3,4,0
Keith Appling,,3,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,0
Kobe Bryant,,24,3,13,0.231,0,0,0.000,0,0,0.000,0,1,1,5,4,1,4,2,6,0
Robert Sacre,,27,5,9,0.556,0,0,0.000,2,2,1.000,2,3,5,2,0,1,3,2,12,0
Ronnie Price,,33,3,6,0.500,0,0,0.000,3,3,1.000,1,1,2,3,1,0,2,3,9,0
Roscoe Smith,,19,0,2,0.000,0,0,0.000,1,2,0.500,0,2,2,0,1,0,1,4,1,0
Steve Nash,,12,0,5,0.000,0,0,0.000,3,3,1.000,0,2,2,1,1,0,1,1,3,0
Wayne Ellington,,28,5,9,0.556,0,2,0.000,2,2,1.000,0,2,2,2,2,0,2,1,12,0
Wesley Johnson,,23,2,7,0.286,0,0,0.000,0,0,0.000,0,1,1,1,0,1,2,3,4,0
