10-19,DET-ATL,104-100,Preseason,
29-26,25-26,15-25,35-23,
DET
Andre Drummond,,38,9,14,0.643,0,1,0.000,1,7,0.143,1,16,17,0,2,3,4,4,19,0
Brandon Jennings,,34,5,13,0.385,4,6,0.667,2,2,1.000,1,3,4,11,2,0,1,2,16,0
Caron Butler,,22,0,3,0.000,0,3,0.000,0,0,0.000,0,3,3,2,0,0,1,1,0,0
Cartier Martin,,22,4,9,0.444,0,2,0.000,0,0,0.000,0,3,3,0,1,0,2,3,8,0
D.J. Augustin,,29,5,13,0.385,1,3,0.333,3,5,0.600,0,1,1,4,1,0,2,2,14,0
Greg Monroe,,21,3,5,0.600,0,0,0.000,5,6,0.833,1,7,8,2,3,2,4,6,11,0
Jonas Jerebko,,11,2,3,0.667,0,1,0.000,3,4,0.750,1,3,4,1,0,0,0,2,7,0
Josh Smith,,26,6,13,0.462,0,0,0.000,2,2,1.000,1,4,5,5,1,0,2,2,14,0
Kyle Singler,,36,4,8,0.500,3,5,0.600,4,5,0.800,0,2,2,3,1,1,2,4,15,0
ATL
Al Horford,,21,6,13,0.462,0,0,0.000,0,0,0.000,1,5,6,4,2,1,0,0,12,0
DeMarre Carroll,,34,4,8,0.500,1,3,0.333,5,5,1.000,1,4,5,1,0,0,1,2,14,0
Dennis Schroder,,1,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0
Jeff Teague,,31,6,14,0.429,1,2,0.500,3,4,0.750,0,4,4,10,1,0,5,2,16,0
John Jenkins,,13,2,2,1.000,1,1,1.000,0,0,0.000,0,1,1,1,1,0,0,0,5,0
Kent Bazemore,,15,1,3,0.333,0,0,0.000,1,4,0.250,0,1,1,2,1,0,0,4,3,0
Kyle Korver,,33,6,11,0.545,3,8,0.375,0,0,0.000,1,6,7,0,0,1,1,1,15,0
Mike Muscala,,9,1,3,0.333,0,0,0.000,0,0,0.000,1,1,2,0,1,1,1,3,2,0
Mike Scott,,15,4,6,0.667,0,1,0.000,0,0,0.000,1,4,5,2,0,0,1,4,8,0
Paul Millsap,,33,1,11,0.091,0,3,0.000,3,10,0.300,2,5,7,6,2,0,1,4,5,0
Pero Antic,,17,1,5,0.200,1,4,0.250,5,6,0.833,1,1,2,0,0,0,3,3,8,0
Shelvin Mack,,18,4,8,0.500,4,5,0.800,0,0,0.000,0,3,3,2,0,0,1,1,12,0
