11-03,SAC-LAC,98-92,Team,
25-19,20-32,25-23,28-18,
SAC
Rudy Gay,F,38:45,7,14,0.500,1,2,0.500,10,11,0.909,0,7,7,6,1,1,4,1,25,11.000
Jason Thompson,F,37:14,2,5,0.400,0,0,0.000,0,0,0.000,0,7,7,1,2,2,3,4,4,10.000
DeMarcus Cousins,C,34:24,15,23,0.652,0,0,0.000,4,5,0.800,6,11,17,5,0,3,4,4,34,18.000
Ben McLemore,G,20:12,1,4,0.250,1,3,0.333,0,0,0.000,0,1,1,0,1,0,0,3,3,1.000
Darren Collison,G,39:19,4,12,0.333,0,1,0.000,6,6,1.000,1,4,5,4,0,1,3,1,14,11.000
Nik Stauskas,,20:40,1,3,0.333,1,3,0.333,0,0,0.000,0,0,0,1,0,3,1,1,3,2.000
Reggie Evans,,6:21,0,0,0.000,0,0,0.000,1,2,0.500,0,2,2,0,0,0,0,2,1,-7.000
Omri Casspi,,16:07,2,2,1.000,0,0,0.000,2,2,1.000,1,5,6,3,0,0,0,3,6,0.000
Ramon Sessions,,9:15,0,2,0.000,0,1,0.000,0,2,0.000,0,0,0,0,0,0,1,1,0,-5.000
Carl Landry,,13:56,2,3,0.667,0,0,0.000,3,3,1.000,1,0,1,1,0,0,2,2,7,-5.000
Derrick Williams,,3:47,0,0,0.000,0,0,0.000,1,2,0.500,0,0,0,0,0,1,1,0,1,-6.000
LAC
Matt Barnes,F,31:03,3,11,0.273,1,6,0.167,0,1,0.000,0,1,1,0,0,0,3,2,7,-5.000
Blake Griffin,F,38:08,6,20,0.300,0,1,0.000,5,8,0.625,5,3,8,4,0,1,2,4,17,-15.000
DeAndre Jordan,C,25:26,2,5,0.400,0,0,0.000,0,0,0.000,3,6,9,1,2,4,0,4,4,-9.000
JJ Redick,G,32:32,4,14,0.286,2,10,0.200,2,2,1.000,0,2,2,1,1,0,1,1,12,-6.000
Chris Paul,G,37:26,6,12,0.500,2,5,0.400,2,2,1.000,1,4,5,11,4,1,0,3,16,-13.000
Jordan Farmar,,17:55,4,9,0.444,2,4,0.500,0,0,0.000,0,1,1,3,1,0,0,2,10,-5.000
Spencer Hawes,,22:34,5,10,0.500,1,3,0.333,6,6,1.000,1,3,4,1,1,1,2,4,17,3.000
Jared Cunningham,,10:34,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,2,0,7.000
Hedo Turkoglu,,9:52,3,3,1.000,1,1,1.000,0,0,0.000,1,2,3,1,1,0,0,1,7,9.000
