11-04,OKC-BKN,85-116,Team,
19-32,21-27,22-26,23-31,
OKC
Perry Jones,F,33:50,6,12,0.500,2,5,0.400,2,2,1.000,0,4,4,1,0,0,2,1,16,-22.000
Serge Ibaka,F,29:00,7,11,0.636,1,2,0.500,0,0,0.000,2,7,9,1,1,2,1,1,15,-19.000
Steven Adams,C,29:51,4,10,0.400,0,0,0.000,1,4,0.250,4,5,9,0,1,0,1,4,9,-12.000
Andre Roberson,G,11:28,0,1,0.000,0,0,0.000,1,2,0.500,2,1,3,1,0,0,0,1,1,-14.000
Reggie Jackson,G,41:45,8,20,0.400,2,8,0.250,5,5,1.000,1,3,4,5,0,1,7,5,23,-28.000
Kendrick Perkins,,18:09,0,3,0.000,0,0,0.000,0,2,0.000,2,2,4,0,0,0,2,2,0,-19.000
Lance Thomas,,22:17,1,10,0.100,0,0,0.000,0,0,0.000,1,2,3,0,1,0,1,0,2,-18.000
Nick Collison,,19:00,1,5,0.200,0,1,0.000,1,2,0.500,2,1,3,0,0,0,0,3,3,-12.000
Sebastian Telfair,,34:40,5,10,0.500,3,7,0.429,3,4,0.750,1,4,5,6,0,0,3,0,16,-11.000
BKN
Joe Johnson,F,27:49,5,10,0.500,2,2,1.000,1,2,0.500,0,6,6,6,0,0,1,0,13,16.000
Kevin Garnett,F,19:44,3,8,0.375,0,0,0.000,0,0,0.000,0,6,6,2,1,0,1,4,6,12.000
Brook Lopez,C,23:52,6,10,0.600,0,0,0.000,6,7,0.857,2,4,6,0,1,2,1,3,18,-2.000
Bojan Bogdanovic,G,26:56,5,10,0.500,2,6,0.333,0,0,0.000,0,2,2,2,2,0,0,2,12,14.000
Deron Williams,G,36:46,4,8,0.500,1,4,0.250,8,8,1.000,0,3,3,9,1,0,2,1,17,29.000
Mason Plumlee,,15:30,5,9,0.556,0,0,0.000,0,0,0.000,2,6,8,1,0,0,0,1,10,27.000
Jerome Jordan,,11:14,2,3,0.667,0,0,0.000,0,0,0.000,2,0,2,0,1,0,2,1,4,6.000
Jarrett Jack,,27:37,2,6,0.333,0,0,0.000,0,0,0.000,1,1,2,1,4,0,0,1,4,21.000
Mirza Teletovic,,20:59,3,8,0.375,2,6,0.333,0,0,0.000,1,2,3,2,1,1,1,3,8,21.000
Alan Anderson,,15:30,7,8,0.875,4,4,1.000,0,0,0.000,0,1,1,0,0,0,0,2,18,17.000
Sergey Karasev,,4:41,0,1,0.000,0,1,0.000,2,2,1.000,1,0,1,1,0,0,0,0,2,-2.000
Andrei Kirilenko,,4:41,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,1,0,-2.000
Jorge Gutierrez,,4:41,2,3,0.667,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,4,-2.000
