11-11,SAS-LAC,89-85,Team,
14-20,25-22,25-28,25-15,
SAS
Kawhi Leonard,F,37:14,10,18,0.556,1,3,0.333,5,5,1.000,5,5,10,3,3,1,1,4,26,9.000
Tim Duncan,F,35:38,6,14,0.429,0,0,0.000,6,8,0.750,2,9,11,3,0,1,1,3,18,7.000
Matt Bonner,C,23:07,2,10,0.200,1,7,0.143,0,0,0.000,1,0,1,2,1,0,1,4,5,-2.000
Danny Green,G,24:39,1,5,0.200,0,3,0.000,0,0,0.000,1,3,4,0,1,0,2,0,2,-14.000
Tony Parker,G,33:56,3,13,0.231,0,1,0.000,7,9,0.778,0,2,2,5,1,0,1,0,13,0.000
Manu Ginobili,,24:45,4,8,0.500,0,2,0.000,2,4,0.500,0,4,4,3,0,1,1,3,10,10.000
Boris Diaw,,24:53,4,7,0.571,0,1,0.000,0,0,0.000,0,2,2,3,3,1,0,0,8,6.000
Cory Joseph,,16:03,0,4,0.000,0,2,0.000,0,0,0.000,0,3,3,1,2,0,0,1,0,4.000
Aron Baynes,,12:22,3,4,0.750,0,0,0.000,1,1,1.000,1,1,2,0,0,0,1,2,7,-3.000
Kyle Anderson,,7:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
LAC
Jamal Crawford,F,38:22,3,13,0.231,1,7,0.143,3,3,1.000,0,1,1,3,1,0,3,3,10,-2.000
Blake Griffin,F,37:09,9,17,0.529,0,0,0.000,5,7,0.714,3,7,10,6,1,0,3,3,23,-15.000
DeAndre Jordan,C,37:06,3,5,0.600,0,0,0.000,0,0,0.000,3,10,13,0,2,5,1,2,6,1.000
JJ Redick,G,36:00,4,10,0.400,2,6,0.333,3,3,1.000,1,1,2,4,0,0,2,0,13,-2.000
Chris Paul,G,38:34,6,13,0.462,0,3,0.000,0,0,0.000,0,10,10,9,1,0,4,4,12,2.000
Matt Barnes,,21:00,2,4,0.500,2,3,0.667,2,2,1.000,0,2,2,0,0,1,0,4,8,-4.000
Spencer Hawes,,13:53,4,6,0.667,0,2,0.000,1,2,0.500,0,2,2,1,0,1,1,2,9,3.000
Jordan Farmar,,9:48,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,3,0,1,0,0,0,-6.000
Hedo Turkoglu,,3:32,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,2.000
Glen Davis,,4:09,2,4,0.500,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,1,4,3.000
Jared Cunningham,,0:27,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,1,0,-2.000
