11-26,CHI-DEN,109-114,Team,
21-31,28-25,27-30,33-28,
CHI
Mike Dunleavy,F,36:44,5,9,0.556,3,7,0.429,4,5,0.800,0,2,2,0,3,0,0,2,17,-3.000
Pau Gasol,F,36:12,10,20,0.500,0,0,0.000,2,3,0.667,3,8,11,3,1,0,2,3,22,-5.000
Cameron Bairstow,C,18:46,1,4,0.250,0,0,0.000,0,0,0.000,2,0,2,1,0,1,2,4,2,-13.000
Jimmy Butler,G,40:03,7,13,0.538,0,1,0.000,18,20,0.900,3,6,9,1,1,0,2,3,32,-7.000
Derrick Rose,G,9:52,1,4,0.250,0,3,0.000,0,0,0.000,0,0,0,3,0,0,1,1,2,-8.000
Kirk Hinrich,,31:24,4,10,0.400,2,3,0.667,0,0,0.000,1,0,1,8,1,0,4,2,10,2.000
Nazr Mohammed,,11:48,2,4,0.500,0,0,0.000,0,0,0.000,0,4,4,0,1,2,0,3,4,0.000
Nikola Mirotic,,20:49,1,5,0.200,0,2,0.000,2,3,0.667,2,5,7,2,2,1,0,3,4,-1.000
Doug McDermott,,10:42,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0.000
Aaron Brooks,,23:25,4,12,0.333,2,5,0.400,6,6,1.000,0,0,0,2,0,0,1,1,16,12.000
Tony Snell,,0:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
DEN
Wilson Chandler,F,28:36,6,11,0.545,2,4,0.500,0,0,0.000,2,5,7,0,0,0,1,3,14,7.000
Kenneth Faried,F,23:31,5,11,0.455,0,0,0.000,2,5,0.400,4,5,9,0,1,0,1,1,12,8.000
Timofey Mozgov,C,27:57,5,8,0.625,0,0,0.000,1,2,0.500,2,7,9,0,0,1,2,6,11,4.000
Arron Afflalo,G,32:10,7,11,0.636,3,4,0.750,2,2,1.000,1,3,4,1,0,0,0,3,19,11.000
Ty Lawson,G,35:20,7,16,0.438,1,1,1.000,5,7,0.714,1,2,3,12,3,1,4,2,20,6.000
Danilo Gallinari,,28:44,5,9,0.556,0,1,0.000,5,5,1.000,1,4,5,3,0,1,1,2,15,-1.000
JJ Hickson,,19:06,2,5,0.400,0,0,0.000,3,4,0.750,1,3,4,1,0,2,2,1,7,-1.000
Darrell Arthur,,13:41,1,5,0.200,1,4,0.250,0,0,0.000,0,1,1,1,0,1,1,2,3,0.000
Nate Robinson,,13:06,3,7,0.429,1,2,0.500,0,0,0.000,1,1,2,4,0,0,1,4,7,-1.000
Gary Harris,,5:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,1,0,-3.000
Alonzo Gee,,12:00,2,2,1.000,0,0,0.000,2,2,1.000,1,0,1,0,0,1,1,0,6,-5.000
