11-26,DET-MIL,86-98,Team,
31-26,17-23,19-30,19-19,
DET
Josh Smith,F,34:17,4,10,0.400,1,2,0.500,2,10,0.200,4,6,10,8,1,3,2,2,11,-17.000
Greg Monroe,F,31:41,7,10,0.700,0,0,0.000,1,2,0.500,1,7,8,1,0,0,3,0,15,-13.000
Andre Drummond,C,32:23,11,15,0.733,0,0,0.000,1,2,0.500,2,8,10,1,1,2,3,4,23,-2.000
D.J. Augustin,G,37:13,4,11,0.364,1,1,1.000,2,2,1.000,0,2,2,7,1,0,5,3,11,-10.000
Caron Butler,,24:55,4,9,0.444,0,1,0.000,0,0,0.000,0,1,1,0,0,0,2,1,8,-4.000
Kyle Singler,,30:26,3,10,0.300,2,7,0.286,0,0,0.000,0,3,3,0,0,0,1,4,8,-8.000
Jonas Jerebko,,13:43,0,0,0.000,0,0,0.000,1,1,1.000,1,0,1,1,1,0,0,1,1,5.000
Spencer Dinwiddie,,10:47,1,3,0.333,1,1,1.000,0,0,0.000,0,0,0,3,1,0,2,0,3,-2.000
Joel Anthony,,1:42,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,1.000
Cartier Martin,,1:42,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
MIL
Giannis Antetokounmpo,F,30:30,1,13,0.077,0,2,0.000,0,0,0.000,1,3,4,2,2,0,3,4,2,2.000
Jabari Parker,F,27:13,7,10,0.700,0,0,0.000,0,1,0.000,5,4,9,2,1,1,2,1,14,9.000
Larry Sanders,C,26:26,6,12,0.500,0,0,0.000,0,0,0.000,5,4,9,1,0,1,0,5,12,0.000
O.J. Mayo,G,28:01,5,10,0.500,3,4,0.750,4,4,1.000,0,2,2,3,1,0,2,1,17,14.000
Brandon Knight,G,31:49,7,12,0.583,3,5,0.600,3,4,0.750,0,3,3,8,2,0,2,1,20,10.000
Khris Middleton,,19:59,2,7,0.286,1,4,0.250,0,0,0.000,1,3,4,0,1,0,1,3,5,-2.000
Ersan Ilyasova,,20:47,4,11,0.364,2,3,0.667,3,4,0.750,2,7,9,0,1,0,0,1,13,3.000
Jerryd Bayless,,16:11,2,3,0.667,0,1,0.000,0,0,0.000,0,2,2,4,1,0,3,2,4,2.000
Zaza Pachulia,,17:39,4,8,0.500,0,0,0.000,0,0,0.000,4,1,5,1,0,0,2,3,8,6.000
John Henson,,3:55,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,0,0,6.000
Jared Dudley,,17:30,1,3,0.333,1,3,0.333,0,0,0.000,0,2,2,1,0,0,0,3,3,10.000
