11-27,LAC-DET,104-98,Team,
25-27,23-24,24-22,32-25,
LAC
Reggie Bullock,F,16:37,2,6,0.333,1,5,0.200,2,2,1.000,0,2,2,0,2,0,0,2,7,4.000
Blake Griffin,F,33:07,6,17,0.353,0,0,0.000,3,3,1.000,3,4,7,7,1,0,2,2,15,4.000
DeAndre Jordan,C,32:42,2,4,0.500,0,0,0.000,0,0,0.000,3,8,11,0,0,2,0,3,4,1.000
JJ Redick,G,25:20,3,6,0.500,1,3,0.333,3,4,0.750,0,4,4,0,0,0,3,2,10,0.000
Chris Paul,G,36:20,9,12,0.750,3,4,0.750,2,2,1.000,1,1,2,7,1,0,3,3,23,9.000
Hedo Turkoglu,,21:51,3,8,0.375,3,7,0.429,0,0,0.000,0,0,0,1,0,0,3,3,9,-1.000
Jamal Crawford,,32:37,8,16,0.500,3,8,0.375,6,6,1.000,1,2,3,4,2,1,2,1,25,7.000
Spencer Hawes,,17:54,1,5,0.200,0,0,0.000,2,2,1.000,0,8,8,2,1,0,1,0,4,8.000
Jordan Farmar,,11:40,1,2,0.500,1,1,1.000,0,0,0.000,1,1,2,0,2,0,1,2,3,-3.000
Glen Davis,,11:52,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,4,1.000
DET
Josh Smith,F,36:01,7,17,0.412,1,1,1.000,2,2,1.000,1,3,4,6,2,2,2,3,17,1.000
Greg Monroe,F,27:24,1,6,0.167,0,0,0.000,4,6,0.667,2,7,9,1,1,0,3,2,6,-9.000
Andre Drummond,C,37:33,6,11,0.545,0,0,0.000,5,9,0.556,6,7,13,0,2,2,2,0,17,-2.000
D.J. Augustin,G,35:16,7,14,0.500,2,8,0.250,3,3,1.000,0,3,3,6,0,0,3,2,19,0.000
Caron Butler,,19:33,1,3,0.333,1,2,0.500,0,0,0.000,1,3,4,0,0,0,2,1,3,-5.000
Spencer Dinwiddie,,17:11,4,7,0.571,2,4,0.500,0,0,0.000,0,0,0,4,0,0,0,1,10,-7.000
Jonas Jerebko,,11:15,1,3,0.333,0,1,0.000,0,0,0.000,1,3,4,0,1,0,0,1,2,-4.000
Kyle Singler,,7:11,3,3,1.000,1,1,1.000,0,0,0.000,0,0,0,0,1,0,1,2,7,3.000
Cartier Martin,,7:41,0,3,0.000,0,3,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-3.000
