12-03,LAL-DET,106-96,Team,
19-19,27-26,35-20,25-31,
LAL
Wesley Johnson,F,28:34,5,6,0.833,3,3,1.000,0,1,0.000,1,1,2,2,1,4,1,4,13,12.000
Carlos Boozer,F,25:50,7,13,0.538,0,0,0.000,0,0,0.000,0,7,7,2,2,0,0,4,14,16.000
Jordan Hill,C,30:39,10,15,0.667,0,0,0.000,2,2,1.000,5,8,13,1,1,0,1,2,22,10.000
Kobe Bryant,G,33:26,4,11,0.364,1,3,0.333,3,3,1.000,0,5,5,13,2,0,10,2,12,15.000
Jeremy Lin,G,29:37,2,5,0.400,2,4,0.500,5,7,0.714,1,3,4,5,0,0,0,4,11,12.000
Ed Davis,,19:26,1,1,1.000,0,0,0.000,1,2,0.500,4,7,11,0,0,0,2,2,3,-2.000
Nick Young,,20:52,5,13,0.385,3,6,0.500,6,7,0.857,0,1,1,0,0,1,0,0,19,-2.000
Ronnie Price,,18:23,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,2,1,0,0,2,0,-2.000
Robert Sacre,,17:21,1,8,0.125,0,0,0.000,1,2,0.500,0,1,1,0,0,1,0,3,3,0.000
Wayne Ellington,,15:52,4,7,0.571,1,1,1.000,0,0,0.000,0,2,2,0,2,0,0,3,9,-9.000
DET
Kyle Singler,F,16:51,2,5,0.400,1,2,0.500,0,0,0.000,1,1,2,1,0,0,0,0,5,-12.000
Josh Smith,F,32:32,7,17,0.412,0,1,0.000,4,4,1.000,2,8,10,6,3,1,5,3,18,-16.000
Andre Drummond,C,25:01,3,9,0.333,0,0,0.000,2,4,0.500,7,6,13,0,0,3,1,1,8,-13.000
Brandon Jennings,G,24:21,2,10,0.200,0,1,0.000,6,6,1.000,0,2,2,4,0,0,3,1,10,-19.000
Greg Monroe,,26:27,2,7,0.286,0,0,0.000,4,6,0.667,2,8,10,3,1,0,1,3,8,3.000
Cartier Martin,,5:19,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,-6.000
Caron Butler,,28:45,4,7,0.571,2,4,0.500,1,1,1.000,0,2,2,0,0,0,1,2,11,4.000
D.J. Augustin,,23:39,4,7,0.571,1,2,0.500,4,6,0.667,1,0,1,5,0,0,0,1,13,9.000
Jonas Jerebko,,12:00,3,8,0.375,1,4,0.250,2,2,1.000,2,2,4,0,1,1,0,1,9,6.000
Gigi Datome,,12:00,3,8,0.375,1,3,0.333,0,0,0.000,0,1,1,1,1,0,1,1,7,6.000
