12-06,DEN-WAS,89-119,Team,
28-30,18-35,23-25,20-29,
DEN
Wilson Chandler,F,25:27,6,14,0.429,3,4,0.750,5,5,1.000,2,3,5,0,0,1,1,5,20,-27.000
Kenneth Faried,F,18:23,4,5,0.800,0,0,0.000,1,2,0.500,1,2,3,1,2,0,5,1,9,-10.000
Timofey Mozgov,C,21:25,2,5,0.400,0,0,0.000,2,2,1.000,1,5,6,0,1,2,0,3,6,-10.000
Arron Afflalo,G,26:12,2,9,0.222,0,5,0.000,0,0,0.000,0,0,0,0,0,0,2,0,4,-19.000
Ty Lawson,G,34:32,3,10,0.300,0,2,0.000,8,8,1.000,0,4,4,10,3,0,1,2,14,-21.000
JJ Hickson,,20:14,3,9,0.333,0,0,0.000,2,3,0.667,3,3,6,1,1,1,2,3,8,-10.000
Darrell Arthur,,14:40,1,5,0.200,0,2,0.000,0,0,0.000,2,2,4,2,0,1,4,3,2,-8.000
Danilo Gallinari,,16:10,3,7,0.429,1,4,0.250,0,0,0.000,0,2,2,0,0,0,0,2,7,-5.000
Gary Harris,,18:51,0,4,0.000,0,2,0.000,0,0,0.000,0,1,1,0,1,0,1,2,0,-12.000
Nate Robinson,,11:08,2,5,0.400,1,3,0.333,1,2,0.500,0,0,0,0,0,0,1,0,6,-12.000
Alonzo Gee,,12:17,2,3,0.667,0,0,0.000,3,6,0.500,1,1,2,1,0,0,0,0,7,0.000
JaVale McGee,,12:00,1,3,0.333,0,0,0.000,0,2,0.000,0,3,3,0,0,2,1,1,2,-9.000
Erick Green,,8:41,2,3,0.667,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,0,4,-7.000
WAS
Paul Pierce,F,20:25,4,10,0.400,0,3,0.000,3,4,0.750,2,4,6,0,2,0,1,2,11,4.000
Kris Humphries,F,25:41,7,11,0.636,0,0,0.000,6,8,0.750,3,1,4,0,1,1,1,2,20,15.000
Marcin Gortat,C,25:30,5,9,0.556,0,0,0.000,5,5,1.000,3,2,5,2,0,1,2,3,15,15.000
Bradley Beal,G,25:19,5,10,0.500,4,6,0.667,0,0,0.000,0,2,2,4,1,0,2,1,14,19.000
John Wall,G,28:11,3,7,0.429,1,3,0.333,2,2,1.000,0,8,8,12,1,2,4,3,9,11.000
Rasual Butler,,27:35,7,13,0.538,2,6,0.333,0,0,0.000,0,3,3,2,3,2,0,2,16,26.000
Nene,,18:00,2,4,0.500,0,0,0.000,4,6,0.667,3,5,8,0,2,1,0,0,8,16.000
Otto Porter,,22:41,1,4,0.250,0,2,0.000,2,2,1.000,0,7,7,4,1,2,1,0,4,11.000
Kevin Seraphin,,22:30,8,12,0.667,0,0,0.000,0,0,0.000,3,1,4,1,0,2,2,4,16,15.000
Andre Miller,,15:30,2,2,1.000,0,0,0.000,0,0,0.000,0,3,3,7,0,0,1,2,4,20.000
DeJuan Blair,,4:19,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,-1.000
Garrett Temple,,4:19,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,3,1,0,1,1,0,-1.000
