12-07,ORL-SAC,105-96,Team,
27-27,25-22,25-17,28-30,
ORL
Tobias Harris,F,38:55,10,17,0.588,4,5,0.800,3,4,0.750,0,4,4,1,0,0,0,2,27,6.000
Channing Frye,F,34:56,2,7,0.286,2,6,0.333,0,0,0.000,1,5,6,1,2,0,1,3,6,8.000
Evan Fournier,G,30:48,7,16,0.438,1,7,0.143,0,0,0.000,1,5,6,3,0,0,0,0,15,7.000
Victor Oladipo,G,35:54,6,15,0.400,0,3,0.000,4,4,1.000,1,4,5,7,0,0,3,3,16,5.000
Dewayne Dedmon,,22:22,2,2,1.000,0,0,0.000,1,2,0.500,3,5,8,1,0,4,1,5,5,-6.000
Elfrid Payton,,25:12,3,7,0.429,0,1,0.000,2,2,1.000,2,3,5,6,1,0,3,2,8,6.000
Ben Gordon,,12:06,5,6,0.833,1,1,1.000,0,0,0.000,0,0,0,1,0,0,0,1,11,4.000
Willie Green,,11:04,1,5,0.200,0,2,0.000,0,0,0.000,0,2,2,1,0,0,0,3,2,2.000
Andrew Nicholson,,10:36,1,3,0.333,0,0,0.000,0,0,0.000,0,2,2,1,0,0,1,2,2,1.000
SAC
Rudy Gay,F,36:11,7,15,0.467,0,2,0.000,2,3,0.667,1,4,5,6,2,1,2,2,16,-6.000
Jason Thompson,F,32:13,9,12,0.750,0,0,0.000,0,0,0.000,2,7,9,4,0,0,1,3,18,-3.000
Ryan Hollins,C,17:38,2,3,0.667,0,0,0.000,1,2,0.500,0,0,0,0,0,0,0,2,5,-8.000
Ben McLemore,G,23:55,1,3,0.333,0,2,0.000,0,0,0.000,1,1,2,1,1,0,1,2,2,-6.000
Darren Collison,G,34:04,6,14,0.429,3,6,0.500,7,9,0.778,0,3,3,4,0,0,2,2,22,6.000
Nik Stauskas,,6:43,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-8.000
Reggie Evans,,10:30,0,2,0.000,0,0,0.000,3,4,0.750,3,1,4,0,0,0,0,1,3,-8.000
Carl Landry,,18:35,0,5,0.000,0,0,0.000,2,2,1.000,1,3,4,0,0,0,1,1,2,-3.000
Omri Casspi,,11:49,1,3,0.333,0,0,0.000,2,3,0.667,0,3,3,0,1,0,1,1,4,-3.000
Ramon Sessions,,23:28,3,11,0.273,0,2,0.000,4,4,1.000,1,1,2,7,1,0,1,0,10,-6.000
Ray McCallum,,8:01,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,1,1,0,0,-6.000
Derrick Williams,,16:53,6,8,0.750,1,1,1.000,1,1,1.000,0,1,1,0,0,0,1,1,14,6.000
