12-18,BKN-TOR,89-105,Team,
30-22,22-31,21-23,16-29,
BKN
Joe Johnson,F,38:20,8,17,0.471,1,4,0.250,0,3,0.000,1,7,8,3,1,0,2,1,17,-14.000
Mirza Teletovic,F,20:49,5,10,0.500,4,8,0.500,0,0,0.000,0,3,3,2,0,0,1,0,14,2.000
Mason Plumlee,C,36:53,9,13,0.692,0,1,0.000,5,11,0.455,3,5,8,2,0,2,3,3,23,-11.000
Alan Anderson,G,26:50,1,7,0.143,1,5,0.200,1,2,0.500,2,5,7,1,1,1,0,0,4,3.000
Deron Williams,G,32:48,5,15,0.333,1,5,0.200,0,1,0.000,3,0,3,7,0,0,5,3,11,-10.000
Jarrett Jack,,23:43,2,6,0.333,0,0,0.000,0,0,0.000,0,2,2,3,1,1,0,1,4,-15.000
Jerome Jordan,,12:34,1,3,0.333,0,0,0.000,4,5,0.800,4,3,7,0,0,2,1,2,6,-9.000
Cory Jefferson,,16:55,3,4,0.750,1,1,1.000,0,0,0.000,0,1,1,1,0,0,1,2,7,-4.000
Bojan Bogdanovic,,17:27,1,5,0.200,1,3,0.333,0,0,0.000,0,1,1,0,0,1,0,2,3,-11.000
Brandon Davies,,9:23,0,1,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,1,0,2,0,-8.000
Darius Morris,,2:56,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-2.000
Markel Brown,,1:22,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
TOR
Terrence Ross,F,22:11,3,10,0.300,2,5,0.400,1,1,1.000,0,1,1,0,0,0,2,2,9,4.000
Amir Johnson,F,31:16,5,8,0.625,0,0,0.000,3,6,0.500,5,4,9,1,0,1,0,6,13,15.000
Jonas Valanciunas,C,27:30,6,7,0.857,0,0,0.000,4,4,1.000,3,7,10,1,0,1,2,0,16,8.000
Landry Fields,G,20:51,3,4,0.750,0,1,0.000,0,0,0.000,1,2,3,2,2,0,0,1,6,-6.000
Kyle Lowry,G,31:38,7,13,0.538,2,3,0.667,4,4,1.000,0,3,3,12,2,0,2,4,20,9.000
Patrick Patterson,,25:12,5,10,0.500,3,4,0.750,0,0,0.000,0,2,2,1,0,1,0,3,13,12.000
Lou Williams,,25:22,4,10,0.400,2,4,0.500,0,0,0.000,0,0,0,1,1,0,0,0,10,14.000
Tyler Hansbrough,,10:40,0,3,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,2,0,-4.000
Greivis Vasquez,,16:22,6,11,0.545,1,3,0.333,0,0,0.000,0,3,3,3,1,0,1,0,13,7.000
James Johnson,,26:42,2,4,0.500,0,0,0.000,1,4,0.250,0,6,6,3,0,1,1,2,5,20.000
Greg Stiemsma,,1:22,0,0,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,1,0,1.000
Bruno Caboclo,,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
