12-18,HOU-DEN,115-111,Team,
25-29,30-31,20-18,24-21,16-12,
HOU
Trevor Ariza,F,40:39,4,14,0.286,3,10,0.300,2,3,0.667,1,7,8,1,0,0,2,2,13,11.000
Donatas Motiejunas,F,37:53,5,11,0.455,3,5,0.600,1,2,0.500,1,5,6,0,1,1,1,1,14,4.000
Dwight Howard,C,37:32,7,16,0.438,0,0,0.000,10,15,0.667,4,10,14,1,0,4,3,3,24,12.000
James Harden,G,39:55,9,19,0.474,1,7,0.143,14,17,0.824,1,2,3,9,2,0,4,2,33,8.000
Patrick Beverley,G,41:04,3,9,0.333,0,2,0.000,2,2,1.000,1,9,10,5,3,0,0,5,8,5.000
Tarik Black,,19:15,1,3,0.333,0,0,0.000,0,0,0.000,2,5,7,0,1,0,1,2,2,-17.000
Isaiah Canaan,,6:32,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-8.000
Nick Johnson,,16:23,2,6,0.333,1,2,0.500,0,0,0.000,0,1,1,0,0,0,3,4,5,-16.000
Joey Dorsey,,0:47,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
DEN
Wilson Chandler,F,29:38,8,15,0.533,5,9,0.556,2,2,1.000,1,4,5,0,1,1,2,2,23,-17.000
Kenneth Faried,F,31:00,5,12,0.417,0,0,0.000,1,2,0.500,4,7,11,2,0,0,3,5,11,-12.000
Timofey Mozgov,C,19:07,0,3,0.000,0,0,0.000,1,2,0.500,2,4,6,0,0,0,0,4,1,-9.000
Arron Afflalo,G,28:43,6,14,0.429,2,5,0.400,4,4,1.000,1,1,2,1,1,0,4,5,18,3.000
Ty Lawson,G,41:45,4,12,0.333,0,0,0.000,4,4,1.000,0,1,1,13,1,0,4,1,12,0.000
JJ Hickson,,20:53,4,8,0.500,0,0,0.000,0,0,0.000,1,4,5,2,1,0,0,2,8,5.000
Darrell Arthur,,23:04,3,10,0.300,1,4,0.250,0,0,0.000,3,5,8,5,1,0,2,3,7,14.000
Jusuf Nurkic,,16:33,3,6,0.500,0,0,0.000,0,0,0.000,2,6,8,0,2,0,0,5,6,17.000
Danilo Gallinari,,22:29,3,6,0.500,3,6,0.500,4,5,0.800,0,2,2,1,1,0,0,1,13,-1.000
Nate Robinson,,6:15,0,3,0.000,0,0,0.000,0,0,0.000,1,0,1,2,0,0,0,2,0,0.000
Alonzo Gee,,0:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
