12-18,UTA-MIA,105-87,Team,
33-16,22-25,22-18,28-28,
UTA
Gordon Hayward,F,38:11,9,13,0.692,4,5,0.800,7,7,1.000,0,6,6,7,0,1,3,3,29,25.000
Derrick Favors,F,33:21,3,8,0.375,0,0,0.000,5,7,0.714,2,4,6,1,1,1,2,2,11,14.000
Enes Kanter,C,30:48,7,12,0.583,1,2,0.500,3,4,0.750,2,4,6,1,1,0,3,4,18,10.000
Alec Burks,G,30:21,3,7,0.429,2,3,0.667,4,4,1.000,0,2,2,4,0,0,2,4,12,-7.000
Trey Burke,G,28:37,3,10,0.300,3,8,0.375,0,0,0.000,0,1,1,2,1,0,1,1,9,7.000
Dante Exum,,24:20,4,5,0.800,2,3,0.667,0,0,0.000,0,2,2,3,0,0,3,3,10,15.000
Rodney Hood,,8:10,2,3,0.667,2,2,1.000,0,0,0.000,0,0,0,1,0,0,1,5,6,15.000
Trevor Booker,,12:26,2,4,0.500,0,0,0.000,0,0,0.000,0,4,4,0,0,0,1,2,4,8.000
Rudy Gobert,,19:26,2,2,1.000,0,0,0.000,2,2,1.000,2,7,9,1,1,2,1,2,6,4.000
Joe Ingles,,14:21,0,2,0.000,0,2,0.000,0,0,0.000,0,2,2,3,0,1,1,0,0,-1.000
MIA
Luol Deng,F,31:03,3,6,0.500,0,1,0.000,2,2,1.000,1,3,4,2,1,0,1,3,8,-18.000
Chris Andersen,F,26:08,3,6,0.500,0,0,0.000,0,0,0.000,2,7,9,0,1,0,1,2,6,-1.000
Justin Hamilton,C,12:15,1,3,0.333,0,1,0.000,0,0,0.000,0,1,1,0,1,0,0,2,2,-13.000
Dwyane Wade,G,33:59,12,19,0.632,2,3,0.667,16,21,0.762,1,3,4,3,0,0,6,5,42,-5.000
Norris Cole,G,17:09,0,4,0.000,0,1,0.000,1,2,0.500,0,0,0,2,0,0,0,1,1,-2.000
Mario Chalmers,,32:10,3,13,0.231,1,5,0.200,4,5,0.800,0,1,1,0,2,0,1,2,11,-15.000
Udonis Haslem,,21:52,1,4,0.250,0,0,0.000,1,3,0.333,1,1,2,0,1,0,0,3,3,-16.000
Shabazz Napier,,14:01,0,4,0.000,0,2,0.000,0,2,0.000,1,3,4,2,2,0,1,0,0,-13.000
Shawne Williams,,29:27,2,7,0.286,1,4,0.250,0,0,0.000,1,3,4,1,1,0,1,4,5,-5.000
James Ennis,,21:58,2,4,0.500,0,0,0.000,5,5,1.000,1,1,2,0,1,0,0,2,9,-2.000
