01-01,NOH-BOS,83-81,Team,
23-19,14-20,29-18,17-24,
NOH
Trevor Ariza,F,29:49,2,7,0.286,1,4,0.250,2,4,0.500,0,2,2,1,2,0,1,3,7,-6.000
David West,F,41:30,8,17,0.471,0,0,0.000,3,5,0.600,1,4,5,4,1,1,1,1,19,15.000
Emeka Okafor,C,42:56,9,13,0.692,0,0,0.000,0,5,0.000,6,7,13,1,0,3,2,1,18,3.000
Marco Belinelli,G,30:14,4,9,0.444,2,3,0.667,0,0,0.000,1,1,2,3,1,1,0,3,10,19.000
Chris Paul,G,40:28,7,15,0.467,1,3,0.333,5,5,1.000,1,4,5,11,6,0,4,3,20,17.000
Marcus Thornton,,11:47,1,5,0.200,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,2,2,-6.000
Quincy Pondexter,,5:45,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,1,0,4.000
Jason Smith,,8:56,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,0,0,2,1,0,2,-13.000
Jarrett Jack,,7:33,0,2,0.000,0,0,0.000,0,0,0.000,0,3,3,1,0,0,2,0,0,-14.000
Willie Green,,18:25,1,5,0.200,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,3,5,-7.000
DJ Mbenga,,2:37,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-2.000
BOS
Paul Pierce,F,35:44,5,10,0.500,0,4,0.000,2,2,1.000,0,7,7,3,1,1,6,2,12,-9.000
Glen Davis,F,35:10,4,14,0.286,0,1,0.000,0,0,0.000,3,1,4,1,0,1,2,1,8,-19.000
Ray Allen,G,40:13,7,13,0.538,2,4,0.500,2,2,1.000,1,5,6,4,0,0,3,2,18,-9.000
Nate Robinson,G,37:32,5,10,0.500,1,4,0.250,0,2,0.000,0,6,6,3,2,0,1,4,11,-6.000
Marquis Daniels,,24:41,4,6,0.667,0,0,0.000,2,2,1.000,1,2,3,4,2,2,1,0,10,8.000
Von Wafer,,5:51,1,4,0.250,0,1,0.000,0,0,0.000,2,1,3,0,1,0,0,0,2,9.000
Luke Harangody,,12:49,1,5,0.200,0,1,0.000,0,0,0.000,1,3,4,0,0,0,0,3,2,18.000
Avery Bradley,,0:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
