01-06,LAL-PHX,99-95,Team,
31-24,18-26,31-23,19-22,
LAL
Metta World Peace,F,28:38,4,10,0.400,3,5,0.600,0,0,0.000,2,2,4,4,0,0,1,3,11,8.000
Pau Gasol,F,35:00,3,10,0.300,0,0,0.000,0,0,0.000,2,7,9,6,2,2,1,1,6,0.000
Andrew Bynum,C,27:10,6,10,0.600,0,0,0.000,2,7,0.286,4,3,7,1,0,2,0,5,14,7.000
Kobe Bryant,G,35:35,9,17,0.529,2,6,0.333,4,6,0.667,2,5,7,5,1,0,3,0,24,4.000
Derek Fisher,G,27:02,2,7,0.286,0,2,0.000,0,0,0.000,0,0,0,1,2,0,1,2,4,2.000
Lamar Odom,,23:44,6,12,0.500,0,2,0.000,0,0,0.000,4,6,10,3,0,0,0,4,12,2.000
Steve Blake,,20:58,3,6,0.500,1,4,0.250,0,0,0.000,0,3,3,0,0,0,1,1,7,2.000
Shannon Brown,,16:39,3,7,0.429,0,2,0.000,7,7,1.000,0,2,2,0,1,0,1,1,13,2.000
Matt Barnes,,21:26,3,5,0.600,0,2,0.000,0,0,0.000,0,5,5,0,0,1,2,3,6,-3.000
Luke Walton,,3:48,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-4.000
PHX
Grant Hill,F,34:37,4,12,0.333,0,0,0.000,2,2,1.000,0,4,4,2,0,1,1,2,10,-6.000
Marcin Gortat,F,34:53,4,7,0.571,0,0,0.000,4,6,0.667,1,8,9,0,1,1,2,3,12,-10.000
Robin Lopez,C,11:56,1,3,0.333,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,3,2,-9.000
Vince Carter,G,27:33,6,13,0.462,1,4,0.250,0,0,0.000,1,1,2,2,1,0,0,4,13,0.000
Steve Nash,G,31:05,4,8,0.500,1,2,0.500,2,2,1.000,0,2,2,10,0,0,1,0,11,-6.000
Channing Frye,,26:41,3,8,0.375,3,6,0.500,1,1,1.000,0,3,3,3,0,0,2,4,10,-2.000
Mickael Pietrus,,14:42,3,6,0.500,2,5,0.400,0,0,0.000,0,1,1,2,0,0,0,2,8,2.000
Jared Dudley,,30:48,8,11,0.727,3,4,0.750,2,4,0.500,2,4,6,2,2,0,1,1,21,5.000
Goran Dragic,,16:55,2,4,0.500,1,2,0.500,0,0,0.000,1,0,1,4,0,0,3,0,5,2.000
Hakim Warrick,,10:50,1,2,0.500,0,0,0.000,1,2,0.500,0,2,2,0,0,0,0,0,3,4.000
