01-13,MIA-LAC,105-111,Team,
26-44,32-24,20-18,27-25,
MIA
LeBron James,F,39:44,11,24,0.458,3,6,0.500,2,5,0.400,2,6,8,6,0,0,3,1,27,-3.000
Chris Bosh,F,39:36,6,17,0.353,1,3,0.333,13,14,0.929,3,10,13,4,0,0,1,3,26,4.000
Zydrunas Ilgauskas,C,22:00,1,2,0.500,0,0,0.000,0,0,0.000,2,4,6,0,0,0,0,3,2,4.000
Dwyane Wade,G,40:57,12,22,0.545,1,4,0.250,6,7,0.857,1,6,7,5,1,3,1,2,31,7.000
Carlos Arroyo,G,18:33,2,5,0.400,0,2,0.000,0,0,0.000,1,1,2,1,0,0,0,2,4,-8.000
Erick Dampier,,1:18,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
James Jones,,15:52,0,3,0.000,0,3,0.000,1,2,0.500,0,0,0,1,0,0,0,2,1,-13.000
Mario Chalmers,,29:27,4,12,0.333,3,9,0.333,1,2,0.500,2,2,4,3,2,0,1,3,12,2.000
Mike Miller,,2:33,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-7.000
Joel Anthony,,24:33,1,1,1.000,0,0,0.000,0,0,0.000,1,1,2,2,0,2,0,4,2,-11.000
Juwan Howard,,5:27,0,2,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,1,0,-3.000
LAC
Ryan Gomes,F,38:48,4,11,0.364,1,4,0.250,2,2,1.000,1,3,4,2,1,0,0,2,11,11.000
Blake Griffin,F,43:13,9,18,0.500,0,1,0.000,6,9,0.667,1,13,14,6,1,1,3,1,24,4.000
DeAndre Jordan,C,24:44,2,3,0.667,0,0,0.000,1,4,0.250,1,3,4,1,2,1,0,4,5,-2.000
Eric Gordon,G,41:41,8,15,0.533,1,5,0.200,9,11,0.818,0,5,5,6,0,0,1,3,26,8.000
Baron Davis,G,33:28,9,19,0.474,1,3,0.333,1,3,0.333,1,4,5,9,0,1,4,3,20,-9.000
Eric Bledsoe,,16:14,1,5,0.200,1,1,1.000,0,1,0.000,1,1,2,4,1,2,2,1,3,8.000
Randy Foye,,7:38,2,3,0.667,1,1,1.000,1,2,0.500,0,2,2,3,1,1,0,0,6,7.000
Ike Diogu,,18:27,3,6,0.500,0,0,0.000,1,2,0.500,2,2,4,0,0,0,0,2,7,2.000
Jarron Collins,,2:28,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,0,1,0,2.000
