01-16,ORL-MIN,108-99,Team,
20-29,28-26,33-18,27-26,
ORL
Hedo Turkoglu,F,31:57,3,5,0.600,1,2,0.500,2,2,1.000,0,5,5,3,0,0,4,1,9,30.000
Brandon Bass,F,24:33,4,13,0.308,0,0,0.000,2,2,1.000,1,3,4,1,1,1,0,4,10,1.000
Dwight Howard,C,38:05,5,10,0.500,0,0,0.000,6,9,0.667,4,5,9,1,3,1,4,5,16,11.000
Jason Richardson,G,34:41,7,13,0.538,3,7,0.429,4,4,1.000,0,3,3,1,2,1,1,2,21,-6.000
Jameer Nelson,G,25:43,3,5,0.600,1,1,1.000,2,2,1.000,0,0,0,7,2,0,2,4,9,-2.000
JJ Redick,,32:01,7,15,0.467,3,8,0.375,4,4,1.000,0,2,2,1,1,0,1,1,21,-2.000
Ryan Anderson,,29:22,5,11,0.455,3,8,0.375,2,2,1.000,3,8,11,0,2,1,0,3,15,5.000
Gilbert Arenas,,22:17,2,9,0.222,0,3,0.000,3,4,0.750,0,3,3,7,0,0,2,1,7,11.000
Earl Clark,,1:21,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
MIN
Wesley Johnson,F,21:00,1,3,0.333,0,0,0.000,2,2,1.000,0,1,1,2,0,0,3,1,4,9.000
Kevin Love,F,41:35,5,12,0.417,0,3,0.000,1,2,0.500,2,13,15,4,1,1,2,3,11,-7.000
Darko Milicic,C,19:15,5,7,0.714,0,0,0.000,3,4,0.750,2,4,6,1,0,3,2,6,13,-7.000
Corey Brewer,G,34:20,8,15,0.533,2,5,0.400,5,6,0.833,0,3,3,1,5,0,3,1,23,-3.000
Luke Ridnour,G,35:03,6,15,0.400,3,5,0.600,4,4,1.000,0,1,1,6,1,0,0,2,19,1.000
Nikola Pekovic,,17:51,3,6,0.500,0,0,0.000,2,2,1.000,3,3,6,0,0,0,2,6,8,-6.000
Wayne Ellington,,24:23,4,11,0.364,0,1,0.000,0,0,0.000,1,3,4,0,1,0,2,3,8,-9.000
Anthony Tolliver,,17:19,3,5,0.600,2,3,0.667,1,2,0.500,3,4,7,0,0,1,2,2,9,2.000
Martell Webster,,16:17,1,4,0.250,0,2,0.000,0,0,0.000,1,2,3,1,0,0,2,1,2,-15.000
Jonny Flynn,,12:57,1,6,0.167,0,2,0.000,0,0,0.000,0,0,0,1,1,0,0,0,2,-10.000
