01-18,SAC-ATL,98-100,Team,
32-27,30-26,20-20,16-27,
SAC
Donte Greene,F,35:06,3,6,0.500,1,3,0.333,0,2,0.000,4,7,11,2,0,0,1,1,7,-7.000
Jason Thompson,F,27:54,7,16,0.438,0,0,0.000,2,2,1.000,6,2,8,1,1,0,1,2,16,-2.000
DeMarcus Cousins,C,30:09,8,19,0.421,0,0,0.000,4,6,0.667,4,4,8,2,0,2,3,4,20,-1.000
Tyreke Evans,G,37:36,6,16,0.375,0,2,0.000,4,4,1.000,2,3,5,3,3,1,0,5,16,-8.000
Beno Udrih,G,40:01,8,15,0.533,0,2,0.000,1,3,0.333,0,4,4,2,0,0,1,1,17,13.000
Samuel Dalembert,,22:13,2,7,0.286,0,0,0.000,3,3,1.000,0,5,5,4,1,0,1,2,7,-4.000
Carl Landry,,24:22,4,7,0.571,0,0,0.000,1,2,0.500,0,2,2,2,1,0,0,2,9,-4.000
Omri Casspi,,8:45,1,2,0.500,0,1,0.000,0,0,0.000,1,2,3,0,0,0,0,0,2,3.000
Jermaine Taylor,,1:59,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,2,7.000
Pooh Jeter,,11:56,1,3,0.333,0,1,0.000,0,0,0.000,0,1,1,1,0,0,0,0,2,-7.000
ATL
Josh Smith,F,40:02,7,13,0.538,2,3,0.667,3,4,0.750,3,7,10,4,1,2,5,4,19,16.000
Al Horford,F,46:15,10,16,0.625,0,0,0.000,3,4,0.750,1,8,9,6,0,7,2,4,23,9.000
Jason Collins,C,14:54,0,1,0.000,0,0,0.000,1,2,0.500,2,2,4,0,0,0,1,3,1,-1.000
Joe Johnson,G,41:26,16,27,0.593,1,7,0.143,3,3,1.000,0,5,5,6,1,0,0,0,36,11.000
Mike Bibby,G,42:33,4,13,0.308,2,7,0.286,1,1,1.000,0,2,2,2,1,1,1,3,11,11.000
Jamal Crawford,,33:13,2,9,0.222,0,2,0.000,4,4,1.000,0,2,2,7,0,0,0,2,8,5.000
Maurice Evans,,8:51,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-8.000
Zaza Pachulia,,3:08,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,3,0,-5.000
Damien Wilkins,,3:09,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-14.000
Josh Powell,,4:44,0,2,0.000,0,0,0.000,2,2,1.000,2,2,4,0,0,0,1,1,2,-7.000
Etan Thomas,,1:45,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-7.000
