01-25,OKC-NOH,89-91,Team,
33-19,12-31,26-21,18-20,
OKC
Kevin Durant,F,38:14,7,18,0.389,2,5,0.400,6,6,1.000,1,7,8,4,0,0,4,3,22,-1.000
Jeff Green,F,42:37,8,13,0.615,2,6,0.333,1,2,0.500,1,6,7,0,0,0,1,3,19,-3.000
Nenad Krstic,C,20:31,3,7,0.429,0,0,0.000,0,0,0.000,0,4,4,0,0,0,2,3,6,7.000
Thabo Sefolosha,G,18:34,1,2,0.500,0,1,0.000,0,0,0.000,0,3,3,0,0,0,0,1,2,5.000
Russell Westbrook,G,35:09,6,13,0.462,0,0,0.000,6,7,0.857,1,2,3,10,1,0,4,3,18,-2.000
James Harden,,21:44,1,3,0.333,0,1,0.000,3,3,1.000,0,2,2,3,0,0,2,2,5,2.000
Serge Ibaka,,27:29,4,6,0.667,0,0,0.000,1,2,0.500,3,7,10,0,0,2,1,2,9,-9.000
Nick Collison,,22:46,1,5,0.200,0,0,0.000,0,0,0.000,4,0,4,1,0,0,2,3,2,-7.000
Eric Maynor,,12:57,2,4,0.500,2,3,0.667,0,0,0.000,0,0,0,2,1,0,1,3,6,-2.000
NOH
Trevor Ariza,F,39:39,2,7,0.286,0,2,0.000,4,4,1.000,0,2,2,1,2,0,0,1,8,-4.000
David West,F,33:39,10,18,0.556,0,0,0.000,0,0,0.000,0,4,4,0,2,2,2,2,20,1.000
Emeka Okafor,C,34:60,5,8,0.625,0,0,0.000,1,1,1.000,3,6,9,0,0,4,2,4,11,-10.000
Marco Belinelli,G,13:26,1,4,0.250,0,2,0.000,0,0,0.000,0,0,0,0,0,0,2,0,2,-13.000
Chris Paul,G,34:53,7,14,0.500,2,4,0.500,8,10,0.800,0,4,4,9,3,0,2,3,24,0.000
Jason Smith,,12:21,2,4,0.500,0,0,0.000,0,0,0.000,0,0,0,1,0,1,0,2,4,7.000
Quincy Pondexter,,11:41,0,3,0.000,0,2,0.000,0,0,0.000,0,3,3,2,1,0,0,0,0,3.000
Marcus Thornton,,27:23,3,12,0.250,2,5,0.400,2,4,0.500,1,1,2,2,1,0,0,0,10,19.000
Jarrett Jack,,13:07,1,3,0.333,0,0,0.000,1,3,0.333,0,1,1,3,0,0,0,1,3,2.000
DJ Mbenga,,10:08,2,2,1.000,0,0,0.000,1,1,1.000,2,3,5,0,0,0,0,0,5,5.000
Willie Green,,8:44,2,2,1.000,0,0,0.000,0,0,0.000,2,1,3,0,0,0,1,1,4,0.000
