01-27,CHA-PHX,114-107,Team,
31-26,28-31,33-30,22-20,
CHA
Gerald Wallace,F,41:49,8,13,0.615,0,1,0.000,6,8,0.750,4,6,10,3,1,0,1,1,22,6.000
Boris Diaw,F,35:53,7,10,0.700,2,3,0.667,2,2,1.000,2,4,6,5,1,0,2,1,18,12.000
Kwame Brown,C,26:29,4,5,0.800,0,0,0.000,4,4,1.000,4,6,10,1,0,0,0,3,12,-6.000
Stephen Jackson,G,42:44,7,20,0.350,4,6,0.667,5,6,0.833,1,6,7,4,1,1,3,2,23,8.000
D.J. Augustin,G,33:04,5,11,0.455,3,6,0.500,2,2,1.000,0,3,3,10,0,0,0,0,15,11.000
Gerald Henderson,,33:21,6,12,0.500,0,1,0.000,3,4,0.750,1,2,3,1,0,2,0,2,15,8.000
Nazr Mohammed,,5:52,2,3,0.667,0,0,0.000,1,1,1.000,1,0,1,0,1,0,0,1,5,0.000
Eduardo Najera,,3:42,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Shaun Livingston,,17:06,1,4,0.250,0,0,0.000,2,2,1.000,0,3,3,2,0,2,2,2,4,-4.000
PHX
Grant Hill,F,28:56,3,11,0.273,1,3,0.333,1,1,1.000,1,3,4,1,0,1,1,1,8,0.000
Channing Frye,F,34:11,4,9,0.444,4,7,0.571,0,0,0.000,0,6,6,0,0,1,0,5,12,-10.000
Robin Lopez,C,15:00,2,4,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,3,4,5.000
Vince Carter,G,34:02,8,17,0.471,5,8,0.625,1,2,0.500,3,3,6,2,0,0,1,4,22,4.000
Steve Nash,G,36:01,11,15,0.733,4,4,1.000,1,1,1.000,2,3,5,15,1,0,2,0,27,-7.000
Jared Dudley,,35:08,5,13,0.385,1,5,0.200,2,2,1.000,2,2,4,2,1,0,1,4,13,-10.000
Marcin Gortat,,29:16,6,10,0.600,0,0,0.000,4,4,1.000,3,4,7,0,0,1,0,2,16,-11.000
Goran Dragic,,20:53,2,8,0.250,1,5,0.200,0,0,0.000,1,1,2,2,1,0,2,2,5,-5.000
Hakim Warrick,,6:33,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,1,0,0,-1.000
