01-27,OKC-MIN,118-117,Team,
25-28,29-28,29-23,27-31,8-7,
OKC
Kevin Durant,F,44:50,13,25,0.520,4,8,0.500,13,14,0.929,2,14,16,2,2,2,2,2,43,-4.000
Jeff Green,F,38:15,6,14,0.429,1,4,0.250,4,4,1.000,1,7,8,3,1,0,2,4,17,2.000
Nenad Krstic,C,28:19,4,9,0.444,0,0,0.000,0,0,0.000,1,2,3,1,0,1,1,3,8,2.000
Thabo Sefolosha,G,20:39,2,2,1.000,0,0,0.000,1,1,1.000,0,0,0,1,1,0,1,3,5,3.000
Russell Westbrook,G,33:17,7,18,0.389,0,0,0.000,2,2,1.000,2,0,2,6,4,0,6,4,16,-1.000
James Harden,,27:21,3,8,0.375,3,6,0.500,4,4,1.000,2,2,4,3,2,1,0,1,13,-3.000
Serge Ibaka,,17:49,2,6,0.333,0,0,0.000,0,0,0.000,3,1,4,0,0,1,0,3,4,-2.000
Nick Collison,,14:47,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,2,0,1,0,2.000
Eric Maynor,,14:43,2,4,0.500,0,2,0.000,0,0,0.000,0,1,1,2,0,0,1,1,4,1.000
MIN
Michael Beasley,F,39:13,12,23,0.522,2,5,0.400,2,2,1.000,2,6,8,6,0,1,4,3,28,2.000
Kevin Love,F,39:07,13,21,0.619,3,3,1.000,2,3,0.667,7,12,19,2,0,1,1,1,31,5.000
Darko Milicic,C,18:05,2,7,0.286,0,0,0.000,1,2,0.500,2,2,4,1,0,1,4,4,5,2.000
Corey Brewer,G,26:17,5,9,0.556,0,0,0.000,0,0,0.000,3,1,4,4,2,0,1,5,10,-3.000
Luke Ridnour,G,32:26,4,11,0.364,0,3,0.000,4,6,0.667,0,1,1,8,3,0,3,1,12,-1.000
Wesley Johnson,,28:29,4,8,0.500,2,5,0.400,1,2,0.500,0,2,2,1,2,0,0,1,11,-2.000
Nikola Pekovic,,14:09,1,5,0.200,0,0,0.000,2,2,1.000,1,3,4,0,0,1,1,0,4,-8.000
Jonny Flynn,,15:34,1,2,0.500,0,1,0.000,0,0,0.000,0,1,1,3,0,0,1,0,2,1.000
Anthony Tolliver,,17:06,1,3,0.333,0,1,0.000,5,5,1.000,0,2,2,0,0,0,0,3,7,0.000
Martell Webster,,9:34,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,1,0,0,4.000
