01-27,PHI-TOR,107-94,Team,
20-29,30-21,34-27,23-17,
PHI
Andre Iguodala,F,38:26,7,11,0.636,1,2,0.500,0,0,0.000,2,3,5,6,3,0,2,2,15,5.000
Elton Brand,F,31:33,6,10,0.600,0,0,0.000,2,2,1.000,2,5,7,0,1,1,0,2,14,0.000
Spencer Hawes,C,20:35,1,7,0.143,0,0,0.000,1,2,0.500,2,4,6,4,0,0,1,2,3,-3.000
Jodie Meeks,G,20:09,0,5,0.000,0,3,0.000,2,2,1.000,0,1,1,1,1,0,0,1,2,7.000
Jrue Holiday,G,36:14,6,16,0.375,0,3,0.000,3,4,0.750,3,2,5,11,1,2,5,2,15,18.000
Lou Williams,,25:00,6,10,0.600,3,5,0.600,0,0,0.000,1,1,2,2,0,0,2,3,15,1.000
Evan Turner,,24:51,3,8,0.375,0,1,0.000,4,4,1.000,0,5,5,3,0,0,0,1,10,8.000
Thaddeus Young,,25:58,5,10,0.500,0,0,0.000,0,0,0.000,1,2,3,0,4,0,0,1,10,14.000
Marreese Speights,,17:14,10,12,0.833,0,1,0.000,3,3,1.000,6,3,9,1,0,0,3,3,23,15.000
TOR
Julian Wright,F,26:01,4,11,0.364,0,0,0.000,0,0,0.000,2,0,2,2,4,0,3,1,8,3.000
Amir Johnson,F,34:51,7,10,0.700,0,0,0.000,1,2,0.500,2,4,6,1,1,3,1,3,15,-7.000
Andrea Bargnani,C,37:59,6,10,0.600,1,2,0.500,4,4,1.000,0,5,5,2,2,3,2,0,17,-4.000
DeMar DeRozan,G,39:42,9,18,0.500,0,0,0.000,11,12,0.917,1,4,5,1,0,0,1,3,29,0.000
Jose Calderon,G,37:43,3,8,0.375,0,4,0.000,2,4,0.500,0,5,5,13,1,0,3,4,8,-5.000
Ed Davis,,17:13,2,3,0.667,0,0,0.000,0,0,0.000,1,3,4,0,1,1,0,0,4,-14.000
Jerryd Bayless,,14:04,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,1,2,-11.000
Sonny Weems,,14:10,3,7,0.429,0,0,0.000,0,0,0.000,2,2,4,0,1,0,1,0,6,-14.000
Trey Johnson,,12:20,1,4,0.250,1,2,0.500,0,0,0.000,0,0,0,0,0,0,2,1,3,-12.000
Alexis Ajinca,,5:58,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,2,2,-1.000
