01-31,MIA-OKC,108-103,Team,
35-38,29-23,21-24,23-18,
MIA
LeBron James,F,40:13,7,14,0.500,2,5,0.400,7,11,0.636,0,4,4,13,4,3,4,3,23,6.000
Chris Bosh,F,35:55,8,13,0.615,0,1,0.000,4,8,0.500,3,4,7,1,0,1,2,5,20,0.000
Zydrunas Ilgauskas,C,19:53,4,8,0.500,0,0,0.000,0,0,0.000,1,4,5,0,1,0,1,3,8,3.000
Dwyane Wade,G,41:08,13,22,0.591,0,0,0.000,6,8,0.750,4,5,9,2,2,0,9,4,32,-2.000
Mario Chalmers,G,23:13,1,2,0.500,1,2,0.500,3,3,1.000,0,0,0,3,0,0,1,3,6,-1.000
Mike Miller,,28:35,2,6,0.333,2,4,0.500,0,0,0.000,3,5,8,2,2,0,1,0,6,14.000
Joel Anthony,,27:05,1,3,0.333,0,0,0.000,0,0,0.000,1,5,6,0,0,5,1,5,2,-6.000
James Jones,,12:10,2,5,0.400,2,4,0.500,0,0,0.000,0,1,1,0,0,0,0,1,6,5.000
Eddie House,,11:48,1,2,0.500,1,2,0.500,2,2,1.000,0,1,1,0,1,0,1,0,5,6.000
OKC
Kevin Durant,F,40:04,7,20,0.350,3,5,0.600,16,19,0.842,4,6,10,1,4,0,3,3,33,-3.000
Jeff Green,F,44:02,10,21,0.476,1,3,0.333,2,3,0.667,3,8,11,1,2,1,2,1,23,-5.000
Nenad Krstic,C,15:45,1,3,0.333,0,0,0.000,0,0,0.000,1,1,2,0,0,0,2,2,2,4.000
James Harden,G,28:15,1,3,0.333,1,2,0.500,2,4,0.500,1,5,6,5,1,0,2,5,5,0.000
Russell Westbrook,G,36:47,7,22,0.318,0,2,0.000,7,8,0.875,3,4,7,10,2,1,2,3,21,-3.000
Serge Ibaka,,9:08,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,2,0,6.000
Daequan Cook,,31:16,5,8,0.625,3,5,0.600,0,0,0.000,0,4,4,0,0,0,0,6,13,-5.000
Eric Maynor,,11:36,0,4,0.000,0,1,0.000,0,0,0.000,0,0,0,3,1,0,0,0,0,-4.000
Nick Collison,,23:07,3,3,1.000,0,0,0.000,0,0,0.000,2,0,2,0,1,1,1,3,6,-15.000
