02-02,WAS-NOH,89-97,Team,
26-29,18-26,21-25,24-17,
WAS
Trevor Booker,F,14:18,2,3,0.667,0,0,0.000,0,0,0.000,1,3,4,0,0,1,2,1,4,-8.000
Rashard Lewis,F,28:01,2,6,0.333,0,1,0.000,0,0,0.000,2,1,3,1,1,0,1,6,4,-2.000
Andray Blatche,C,38:20,10,17,0.588,0,0,0.000,1,2,0.500,1,8,9,2,2,1,4,4,21,3.000
Nick Young,G,39:17,9,18,0.500,3,7,0.429,9,12,0.750,1,3,4,2,1,0,1,4,30,-5.000
John Wall,G,37:07,2,10,0.200,0,1,0.000,0,0,0.000,1,5,6,7,2,0,3,3,4,-10.000
JaVale McGee,,18:44,4,5,0.800,0,0,0.000,1,3,0.333,0,3,3,0,0,1,0,1,9,1.000
Kirk Hinrich,,36:11,3,7,0.429,1,3,0.333,3,4,0.750,0,1,1,1,3,0,3,3,10,-1.000
Yi Jianlian,,17:50,1,3,0.333,0,0,0.000,2,2,1.000,1,1,2,0,0,0,1,0,4,-12.000
Al Thornton,,4:44,0,2,0.000,0,1,0.000,2,2,1.000,1,1,2,0,1,0,0,0,2,0.000
Cartier Martin,,5:28,0,1,0.000,0,1,0.000,1,2,0.500,0,0,0,0,0,0,0,1,1,-6.000
NOH
Trevor Ariza,F,40:02,6,11,0.545,2,4,0.500,2,2,1.000,0,4,4,0,2,0,3,3,16,0.000
David West,F,35:32,3,10,0.300,0,0,0.000,4,4,1.000,3,5,8,3,1,1,3,0,10,6.000
Jason Smith,C,25:12,9,11,0.818,0,0,0.000,2,3,0.667,3,2,5,0,2,0,2,4,20,6.000
Marco Belinelli,G,13:09,0,5,0.000,0,2,0.000,2,2,1.000,0,1,1,0,0,0,0,0,2,2.000
Chris Paul,G,30:36,5,9,0.556,1,3,0.333,4,4,1.000,1,4,5,9,2,0,2,3,15,0.000
Aaron Gray,,15:08,2,2,1.000,0,0,0.000,0,1,0.000,3,5,8,0,1,1,1,3,4,1.000
Willie Green,,20:14,5,7,0.714,1,1,1.000,0,0,0.000,0,4,4,1,3,0,0,5,11,7.000
David Andersen,,12:52,2,4,0.500,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,4,3.000
Jarrett Jack,,17:07,2,6,0.333,0,0,0.000,1,2,0.500,0,2,2,5,1,0,1,1,5,8.000
Quincy Pondexter,,1:25,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
DJ Mbenga,,3:26,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,0.000
Marcus Thornton,,25:20,1,7,0.143,0,2,0.000,8,12,0.667,0,2,2,1,1,0,2,0,10,7.000
