02-05,POR-IND,87-100,Team,
25-32,29-28,18-26,15-14,
POR
Nicolas Batum,F,36:56,4,10,0.400,2,6,0.333,4,4,1.000,1,3,4,2,1,1,1,1,14,-20.000
LaMarcus Aldridge,F,31:34,4,12,0.333,0,0,0.000,6,8,0.750,2,8,10,1,0,4,1,6,14,-9.000
Joel Przybilla,C,19:02,1,2,0.500,0,0,0.000,0,0,0.000,0,5,5,0,0,0,0,2,2,-8.000
Wesley Matthews,G,35:23,5,13,0.385,1,3,0.333,1,2,0.500,0,1,1,3,0,0,2,4,12,-15.000
Andre Miller,G,30:46,6,12,0.500,0,0,0.000,2,3,0.667,0,4,4,3,1,1,1,5,14,-11.000
Rudy Fernandez,,37:06,7,16,0.438,2,7,0.286,3,3,1.000,1,2,3,5,2,1,1,3,19,-3.000
Dante Cunningham,,16:52,2,7,0.286,0,0,0.000,0,0,0.000,2,1,3,0,1,0,1,5,4,-5.000
Patty Mills,,14:19,2,10,0.200,0,3,0.000,2,2,1.000,1,1,2,3,1,0,4,0,6,0.000
Sean Marks,,11:21,1,4,0.250,0,0,0.000,0,0,0.000,1,2,3,0,1,1,0,0,2,4.000
Luke Babbitt,,6:41,0,2,0.000,0,1,0.000,0,0,0.000,0,4,4,0,1,0,1,3,0,2.000
IND
Danny Granger,F,34:03,7,13,0.538,2,2,1.000,9,10,0.900,1,8,9,1,1,0,2,0,25,13.000
Josh McRoberts,F,20:19,3,4,0.750,0,0,0.000,2,4,0.500,1,4,5,3,0,1,3,2,8,-4.000
Roy Hibbert,C,21:21,6,13,0.462,0,0,0.000,3,4,0.750,2,4,6,0,0,1,1,5,15,16.000
Mike Dunleavy,G,24:21,3,7,0.429,2,5,0.400,0,0,0.000,0,6,6,0,1,1,1,1,8,18.000
Darren Collison,G,27:20,4,7,0.571,0,0,0.000,3,4,0.750,0,4,4,7,1,0,1,1,11,13.000
Tyler Hansbrough,,28:37,1,8,0.125,0,0,0.000,11,12,0.917,2,6,8,0,0,1,4,2,13,4.000
Paul George,,23:36,1,6,0.167,0,3,0.000,4,6,0.667,0,4,4,0,0,0,1,1,6,-7.000
Jeff Foster,,21:36,0,4,0.000,0,0,0.000,0,0,0.000,8,5,13,0,0,1,1,1,0,4.000
Dahntay Jones,,14:07,3,4,0.750,0,0,0.000,1,1,1.000,0,3,3,0,1,0,1,3,7,0.000
A.J. Price,,20:40,3,11,0.273,1,4,0.250,0,2,0.000,0,0,0,1,0,0,1,3,7,0.000
James Posey,,4:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,8.000
