02-09,MEM-OKC,105-101,Team,
24-27,20-27,30-17,21-24,10-6,
MEM
Sam Young,F,39:54,4,10,0.400,0,1,0.000,4,6,0.667,0,3,3,3,1,1,1,0,12,8.000
Zach Randolph,F,41:46,9,15,0.600,1,1,1.000,8,9,0.889,3,8,11,4,0,0,2,2,27,10.000
Marc Gasol,C,39:25,5,11,0.455,0,0,0.000,2,2,1.000,0,5,5,2,0,1,0,2,12,10.000
Tony Allen,G,35:10,9,12,0.750,0,0,0.000,9,12,0.750,1,1,2,1,5,3,0,3,27,20.000
Mike Conley,G,30:36,4,10,0.400,1,2,0.500,0,0,0.000,0,3,3,3,2,0,3,4,9,5.000
Greivis Vasquez,,17:24,1,4,0.250,0,0,0.000,2,2,1.000,1,0,1,3,0,0,1,1,4,-5.000
Darrell Arthur,,13:05,2,10,0.200,0,0,0.000,0,0,0.000,0,2,2,0,0,0,1,5,4,-16.000
Hasheem Thabeet,,1:44,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-4.000
Xavier Henry,,11:57,0,2,0.000,0,0,0.000,0,2,0.000,0,1,1,0,1,0,0,2,0,-17.000
DeMarre Carroll,,8:59,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,2,0,-11.000
OKC
Kevin Durant,F,38:35,11,24,0.458,2,6,0.333,3,3,1.000,1,7,8,3,1,1,1,3,27,-6.000
Jeff Green,F,39:00,1,8,0.125,1,2,0.500,2,2,1.000,0,6,6,1,1,1,4,5,5,1.000
Nenad Krstic,C,23:38,4,6,0.667,0,0,0.000,0,0,0.000,3,5,8,0,0,0,0,3,8,-10.000
Thabo Sefolosha,G,15:00,3,4,0.750,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,1,7,-9.000
Russell Westbrook,G,30:05,7,13,0.538,0,2,0.000,7,9,0.778,2,3,5,10,0,0,8,3,21,-7.000
Eric Maynor,,17:55,2,5,0.400,1,1,1.000,0,2,0.000,1,2,3,4,1,0,2,2,5,7.000
Serge Ibaka,,26:58,1,4,0.250,0,0,0.000,4,6,0.667,5,6,11,0,0,3,3,4,6,13.000
James Harden,,23:11,3,9,0.333,2,3,0.667,5,5,1.000,2,2,4,0,0,0,2,2,13,6.000
Nick Collison,,25:39,1,3,0.333,0,0,0.000,1,1,1.000,2,3,5,0,0,1,0,6,3,5.000
