02-10,CHA-IND,103-104,Team,
28-29,20-29,22-23,33-23,
CHA
Gerald Wallace,F,42:41,9,15,0.600,0,0,0.000,4,6,0.667,3,6,9,6,2,1,0,4,22,2.000
Boris Diaw,F,30:41,4,8,0.500,0,3,0.000,0,0,0.000,1,2,3,0,0,0,2,2,8,-8.000
Nazr Mohammed,C,26:47,4,9,0.444,0,0,0.000,1,2,0.500,5,3,8,0,2,1,2,3,9,-6.000
Stephen Jackson,G,41:38,9,20,0.450,4,8,0.500,5,6,0.833,1,3,4,3,2,1,3,1,27,4.000
D.J. Augustin,G,35:35,4,13,0.308,1,3,0.333,5,6,0.833,0,3,3,4,0,1,3,2,14,-1.000
Gerald Henderson,,23:41,3,7,0.429,0,0,0.000,3,4,0.750,2,6,8,1,1,0,1,3,9,2.000
Shaun Livingston,,9:48,2,5,0.400,0,0,0.000,2,2,1.000,0,0,0,0,1,0,2,3,6,1.000
Eduardo Najera,,24:54,3,4,0.750,1,2,0.500,1,1,1.000,0,4,4,0,1,0,0,4,8,3.000
Sherron Collins,,2:37,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-1.000
Dominic McGuire,,1:38,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-1.000
IND
Danny Granger,F,39:31,9,17,0.529,3,3,1.000,4,4,1.000,0,3,3,4,2,1,3,2,25,0.000
Josh McRoberts,F,32:17,4,8,0.500,0,0,0.000,4,5,0.800,2,7,9,7,0,0,0,2,12,-2.000
Roy Hibbert,C,33:56,12,19,0.632,0,0,0.000,5,7,0.714,3,7,10,2,0,2,1,2,29,2.000
Mike Dunleavy,G,31:20,1,4,0.250,1,3,0.333,2,2,1.000,2,3,5,1,0,0,3,1,5,-3.000
Darren Collison,G,32:46,7,14,0.500,1,1,1.000,0,0,0.000,0,2,2,5,2,2,3,1,15,-3.000
Paul George,,16:49,3,7,0.429,0,2,0.000,1,1,1.000,2,1,3,2,0,0,1,4,7,3.000
Tyler Hansbrough,,15:43,1,5,0.200,0,0,0.000,0,1,0.000,0,1,1,0,0,0,0,3,2,3.000
Jeff Foster,,13:55,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,3,0,0.000
Dahntay Jones,,8:29,0,3,0.000,0,0,0.000,2,2,1.000,1,1,2,0,0,0,0,0,2,1.000
A.J. Price,,15:14,2,5,0.400,0,2,0.000,3,4,0.750,2,4,6,2,3,0,2,1,7,4.000
