02-17,NJN-BOS,80-94,Team,
22-27,24-19,24-24,10-24,
NJN
Travis Outlaw,F,15:06,1,1,1.000,0,0,0.000,2,4,0.500,1,3,4,1,0,0,0,0,4,-7.000
Derrick Favors,F,18:57,1,2,0.500,0,0,0.000,2,2,1.000,4,3,7,1,0,0,0,5,4,1.000
Brook Lopez,C,36:52,8,16,0.500,0,0,0.000,2,2,1.000,3,2,5,3,0,4,6,3,18,-5.000
Anthony Morrow,G,29:29,5,14,0.357,3,6,0.500,1,1,1.000,0,4,4,1,0,0,2,2,14,-5.000
Devin Harris,G,30:23,6,14,0.429,1,4,0.250,3,3,1.000,0,3,3,5,1,0,1,2,16,-6.000
Jordan Farmar,,18:36,2,7,0.286,2,5,0.400,0,0,0.000,2,2,4,1,0,0,2,3,6,-3.000
Sasha Vujacic,,29:27,2,9,0.222,0,4,0.000,0,0,0.000,1,4,5,5,0,0,0,3,4,-14.000
Quinton Ross,,26:02,3,5,0.600,0,1,0.000,1,1,1.000,1,1,2,1,0,1,0,3,7,-4.000
Johan Petro,,10:47,1,5,0.200,0,0,0.000,0,0,0.000,0,1,1,1,1,0,2,3,2,-11.000
Kris Humphries,,21:31,2,5,0.400,0,0,0.000,1,2,0.500,1,5,6,0,0,0,1,2,5,-14.000
Ben Uzoh,,1:26,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-1.000
Stephen Graham,,1:26,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-1.000
BOS
Paul Pierce,F,33:08,10,18,0.556,1,5,0.200,10,13,0.769,0,5,5,0,1,1,1,1,31,19.000
Kevin Garnett,F,32:40,5,13,0.385,0,0,0.000,4,6,0.667,4,6,10,3,0,2,1,2,14,15.000
Kendrick Perkins,C,27:25,1,4,0.250,0,0,0.000,3,4,0.750,2,6,8,0,1,1,3,4,5,12.000
Ray Allen,G,37:27,5,11,0.455,1,2,0.500,1,2,0.500,0,2,2,3,1,0,0,2,12,16.000
Rajon Rondo,G,36:30,2,5,0.400,0,1,0.000,3,4,0.750,1,4,5,8,4,0,1,0,7,13.000
Von Wafer,,20:12,2,3,0.667,0,0,0.000,3,4,0.750,0,0,0,3,0,0,0,0,7,0.000
Glen Davis,,21:26,1,5,0.200,0,0,0.000,2,2,1.000,2,1,3,0,1,0,2,4,4,6.000
Luke Harangody,,14:29,3,6,0.500,0,0,0.000,2,2,1.000,0,3,3,0,1,1,1,4,8,-5.000
Nate Robinson,,14:52,2,7,0.286,0,3,0.000,0,0,0.000,0,1,1,1,2,0,0,2,4,-5.000
Avery Bradley,,1:51,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-1.000
