02-17,WAS-ORL,76-101,Team,
18-17,21-31,16-32,21-21,
WAS
Josh Howard,F,24:25,1,10,0.100,0,1,0.000,1,3,0.333,0,7,7,1,0,0,1,1,3,-16.000
Andray Blatche,F,31:14,6,17,0.353,0,1,0.000,3,4,0.750,3,6,9,1,1,1,4,3,15,-21.000
JaVale McGee,C,13:32,1,6,0.167,0,0,0.000,2,3,0.667,2,3,5,0,0,0,1,3,4,-18.000
Cartier Martin,G,30:16,2,13,0.154,1,7,0.143,0,0,0.000,3,4,7,0,1,1,0,3,5,-16.000
John Wall,G,39:04,10,17,0.588,1,3,0.333,6,10,0.600,0,5,5,1,2,1,5,2,27,-22.000
Kevin Seraphin,,18:17,2,3,0.667,0,0,0.000,0,0,0.000,2,0,2,1,0,3,2,4,4,-5.000
Hilton Armstrong,,8:02,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,2,0,-2.000
Yi Jianlian,,13:27,0,2,0.000,0,0,0.000,0,0,0.000,0,4,4,0,0,0,0,2,0,0.000
Trevor Booker,,21:47,1,2,0.500,0,0,0.000,0,0,0.000,1,3,4,0,1,0,0,0,2,-7.000
Kirk Hinrich,,31:00,4,9,0.444,1,1,1.000,1,1,1.000,0,1,1,3,0,0,1,1,10,-15.000
Al Thornton,,3:38,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,-3.000
Mustafa Shakur,,5:18,1,3,0.333,0,0,0.000,2,2,1.000,1,0,1,0,0,0,0,0,4,0.000
ORL
Hedo Turkoglu,F,29:34,3,8,0.375,0,0,0.000,0,0,0.000,1,4,5,3,1,0,1,5,6,11.000
Brandon Bass,F,33:26,6,13,0.462,0,0,0.000,3,3,1.000,5,6,11,0,2,1,1,0,15,7.000
Dwight Howard,C,28:56,12,15,0.800,0,0,0.000,8,11,0.727,2,8,10,1,1,3,1,2,32,25.000
Jason Richardson,G,28:38,6,12,0.500,3,6,0.500,1,1,1.000,0,6,6,3,0,0,1,0,16,21.000
Jameer Nelson,G,23:20,4,9,0.444,2,4,0.500,0,0,0.000,0,1,1,4,0,0,0,2,10,13.000
Ryan Anderson,,28:20,4,8,0.500,2,5,0.400,4,4,1.000,0,8,8,1,0,1,2,3,14,18.000
JJ Redick,,28:43,2,7,0.286,0,3,0.000,2,2,1.000,0,1,1,3,2,0,0,2,6,22.000
Gilbert Arenas,,24:40,1,6,0.167,0,1,0.000,0,0,0.000,1,1,2,6,1,0,3,4,2,12.000
Quentin Richardson,,5:18,0,2,0.000,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0.000
Earl Clark,,5:18,0,2,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,1,0,0.000
Chris Duhon,,3:47,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-4.000
