02-26,DEN-POR,106-107,Team,
19-25,20-24,33-16,25-32,9-10,
DEN
Danilo Gallinari,F,36:36,7,13,0.538,1,4,0.250,15,17,0.882,2,7,9,2,0,1,1,2,30,1.000
Wilson Chandler,F,33:35,8,15,0.533,3,4,0.750,1,1,1.000,0,6,6,2,0,2,4,2,20,-3.000
Nene,C,35:07,2,5,0.400,0,0,0.000,4,7,0.571,1,8,9,2,2,0,0,4,8,-4.000
Arron Afflalo,G,33:27,6,13,0.462,1,5,0.200,1,2,0.500,0,5,5,2,0,1,0,2,14,5.000
Ty Lawson,G,31:40,2,8,0.250,0,1,0.000,2,2,1.000,0,3,3,6,2,0,1,4,6,2.000
Raymond Felton,,28:56,3,11,0.273,0,3,0.000,1,2,0.500,0,1,1,4,1,0,0,1,7,-4.000
J.R. Smith,,19:15,3,8,0.375,0,1,0.000,2,2,1.000,1,5,6,1,2,0,1,3,8,-1.000
Al Harrington,,15:04,2,5,0.400,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,1,4,-3.000
Chris Andersen,,6:20,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,1,0,7.000
POR
Rudy Fernandez,F,39:24,5,12,0.417,4,8,0.500,2,4,0.500,0,5,5,4,0,0,2,4,16,3.000
Nicolas Batum,F,36:35,3,9,0.333,2,5,0.400,0,1,0.000,0,8,8,1,2,1,4,4,8,0.000
LaMarcus Aldridge,C,45:55,8,18,0.444,0,0,0.000,4,4,1.000,2,12,14,1,0,3,1,2,20,3.000
Wesley Matthews,G,44:49,6,14,0.429,0,3,0.000,0,0,0.000,2,5,7,2,1,0,1,3,12,-4.000
Andre Miller,G,37:23,7,15,0.467,0,0,0.000,4,4,1.000,3,6,9,9,0,1,1,4,18,5.000
Brandon Roy,,19:18,7,13,0.538,2,5,0.400,2,2,1.000,0,4,4,1,1,1,0,2,18,5.000
Luke Babbitt,,7:37,0,2,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,4,0,-4.000
Patty Mills,,8:15,2,3,0.667,1,1,1.000,0,0,0.000,0,0,0,0,0,0,2,0,5,-6.000
Armon Johnson,,0:44,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
