02-27,SAC-MEM,92-120,Team,
28-23,21-33,17-33,26-31,
SAC
Omri Casspi,F,35:42,3,7,0.429,0,2,0.000,2,2,1.000,2,6,8,2,1,0,1,0,8,-20.000
Jason Thompson,F,20:45,1,6,0.167,0,0,0.000,2,2,1.000,0,0,0,5,0,1,2,2,4,0.000
Samuel Dalembert,C,21:05,3,7,0.429,0,0,0.000,1,2,0.500,1,7,8,0,0,0,3,2,7,-8.000
Jermaine Taylor,G,29:15,4,9,0.444,1,2,0.500,0,0,0.000,1,1,2,3,0,0,2,2,9,-9.000
Beno Udrih,G,33:17,10,13,0.769,1,2,0.500,3,4,0.750,1,3,4,5,0,0,1,1,24,-21.000
Darnell Jackson,,21:27,3,7,0.429,0,0,0.000,0,0,0.000,2,2,4,0,0,1,4,5,6,-16.000
Pooh Jeter,,14:43,2,6,0.333,0,1,0.000,0,0,0.000,0,2,2,1,1,0,2,0,4,-7.000
Marcus Thornton,,31:09,7,18,0.389,0,4,0.000,1,2,0.500,1,1,2,3,1,0,0,1,15,-27.000
DeMarcus Cousins,,27:22,4,11,0.364,0,0,0.000,4,7,0.571,2,5,7,2,1,1,3,6,12,-34.000
Donte Greene,,5:15,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,1,0,0,0,0,3,2.000
MEM
Sam Young,F,29:48,5,9,0.556,0,0,0.000,0,0,0.000,0,6,6,3,1,0,0,2,10,15.000
Zach Randolph,F,29:47,10,15,0.667,0,0,0.000,3,4,0.750,5,7,12,1,0,0,0,3,23,18.000
Marc Gasol,C,27:10,10,15,0.667,0,0,0.000,1,1,1.000,1,5,6,1,1,1,1,3,21,12.000
Tony Allen,G,15:45,1,2,0.500,0,0,0.000,2,2,1.000,0,0,0,2,1,0,1,1,4,2.000
Mike Conley,G,24:35,3,8,0.375,0,0,0.000,2,2,1.000,0,3,3,4,0,1,2,2,8,20.000
Jason Williams,,15:49,3,6,0.500,0,2,0.000,0,0,0.000,0,1,1,5,0,0,1,0,6,11.000
Shane Battier,,24:48,1,3,0.333,0,2,0.000,0,0,0.000,0,2,2,3,1,3,1,0,2,23.000
O.J. Mayo,,25:59,4,12,0.333,3,7,0.429,2,2,1.000,0,3,3,1,4,0,2,1,13,16.000
Greivis Vasquez,,7:36,2,4,0.500,0,0,0.000,0,0,0.000,0,0,0,2,0,1,0,1,4,-3.000
Darrell Arthur,,15:27,7,8,0.875,0,0,0.000,3,4,0.750,2,1,3,0,0,0,1,2,17,15.000
Hamed Haddadi,,20:36,5,11,0.455,0,0,0.000,0,1,0.000,4,6,10,1,0,2,1,3,10,16.000
Rodney Carney,,2:40,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,1,0,0,0,2,-5.000
