03-10,CHI-CHA,101-84,Team,
27-24,25-25,23-20,26-15,
CHI
Luol Deng,F,35:02,2,7,0.286,1,4,0.250,2,4,0.500,0,0,0,3,0,0,0,1,7,6.000
Carlos Boozer,F,26:28,4,9,0.444,0,0,0.000,2,2,1.000,1,6,7,1,0,1,3,4,10,14.000
Joakim Noah,C,32:54,6,10,0.600,0,0,0.000,0,0,0.000,2,11,13,3,0,2,5,5,12,20.000
Keith Bogans,G,16:23,0,2,0.000,0,2,0.000,1,2,0.500,0,1,1,0,0,1,0,1,1,6.000
Derrick Rose,G,31:34,7,15,0.467,4,6,0.667,2,2,1.000,1,3,4,6,2,3,1,1,20,10.000
Taj Gibson,,21:32,6,7,0.857,0,0,0.000,2,2,1.000,4,2,6,1,0,1,1,1,14,3.000
Ronnie Brewer,,28:02,4,8,0.500,2,3,0.667,0,0,0.000,1,2,3,3,1,1,0,0,10,8.000
CJ Watson,,16:26,2,5,0.400,0,1,0.000,2,3,0.667,0,0,0,6,0,0,0,2,6,7.000
Omer Asik,,15:06,0,2,0.000,0,0,0.000,1,2,0.500,3,3,6,1,1,0,0,0,1,-3.000
Kyle Korver,,16:33,7,10,0.700,4,7,0.571,2,2,1.000,0,1,1,1,1,1,0,1,20,14.000
CHA
Dominic McGuire,F,19:16,1,5,0.200,0,0,0.000,0,0,0.000,0,3,3,1,0,3,0,3,2,-8.000
Boris Diaw,F,26:04,4,11,0.364,1,4,0.250,1,4,0.250,2,0,2,4,0,0,1,1,10,-15.000
Kwame Brown,C,34:29,5,10,0.500,0,0,0.000,1,1,1.000,4,7,11,1,1,0,1,2,11,-15.000
Gerald Henderson,G,36:51,8,15,0.533,1,1,1.000,3,3,1.000,1,2,3,8,0,0,2,2,20,-12.000
D.J. Augustin,G,30:05,3,7,0.429,0,2,0.000,0,0,0.000,1,2,3,3,0,0,2,1,6,-17.000
Dante Cunningham,,33:08,7,12,0.583,0,1,0.000,1,1,1.000,3,3,6,2,0,0,2,1,15,-7.000
DJ White,,21:56,5,8,0.625,0,0,0.000,0,0,0.000,2,3,5,0,0,0,0,0,10,-2.000
Shaun Livingston,,18:28,1,7,0.143,0,0,0.000,1,2,0.500,0,1,1,4,0,3,2,3,3,-7.000
Eduardo Najera,,13:31,3,5,0.600,1,2,0.500,0,0,0.000,0,2,2,2,1,2,1,1,7,-2.000
Garrett Temple,,6:12,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,1,0,1,0,0,0,0.000
