03-11,LAL-MIA,88-94,Team,
26-29,27-26,17-13,18-26,
LAL
Metta World Peace,F,35:48,4,11,0.364,1,1,1.000,0,0,0.000,5,4,9,6,3,0,1,3,9,1.000
Pau Gasol,F,39:40,8,16,0.500,0,1,0.000,4,5,0.800,2,3,5,1,1,1,1,1,20,0.000
Andrew Bynum,C,36:51,4,5,0.800,0,0,0.000,5,6,0.833,3,9,12,2,2,1,2,4,13,2.000
Kobe Bryant,G,39:31,8,21,0.381,4,8,0.500,4,5,0.800,0,2,2,2,1,0,3,3,24,3.000
Derek Fisher,G,32:38,2,5,0.400,1,1,1.000,1,2,0.500,0,0,0,4,1,0,3,1,6,5.000
Lamar Odom,,19:29,4,11,0.364,1,2,0.500,2,2,1.000,2,3,5,1,0,0,0,3,11,-14.000
Steve Blake,,12:58,0,1,0.000,0,1,0.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-7.000
Shannon Brown,,10:53,0,3,0.000,0,1,0.000,0,0,0.000,1,1,2,1,0,0,1,2,0,-13.000
Matt Barnes,,12:12,0,2,0.000,0,1,0.000,3,4,0.750,0,1,1,0,1,0,0,2,3,-7.000
MIA
LeBron James,F,42:16,7,17,0.412,0,3,0.000,5,7,0.714,1,7,8,9,1,0,1,1,19,8.000
Chris Bosh,F,37:32,10,17,0.588,0,0,0.000,4,6,0.667,4,5,9,0,0,0,4,3,24,-2.000
Erick Dampier,C,18:37,0,1,0.000,0,0,0.000,0,0,0.000,2,1,3,1,0,1,3,1,0,-10.000
Dwyane Wade,G,39:28,9,23,0.391,1,4,0.250,1,1,1.000,3,2,5,5,4,1,4,1,20,-2.000
Mario Chalmers,G,23:33,3,9,0.333,3,6,0.500,0,0,0.000,1,4,5,0,1,0,1,2,9,-7.000
Juwan Howard,,10:28,0,0,0.000,0,0,0.000,0,0,0.000,2,1,3,1,0,0,0,3,0,8.000
Zydrunas Ilgauskas,,24:31,2,5,0.400,0,0,0.000,0,0,0.000,2,1,3,0,2,1,1,4,4,16.000
Mike Bibby,,22:17,2,3,0.667,2,3,0.667,0,0,0.000,0,2,2,1,0,0,0,2,6,7.000
Mike Miller,,16:26,4,6,0.667,2,3,0.667,2,4,0.500,3,4,7,0,0,0,1,0,12,12.000
Joel Anthony,,4:52,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,0.000
