03-20,DEN-MIA,98-103,Team,
21-29,26-27,24-23,27-24,
DEN
Wilson Chandler,F,32:54,5,15,0.333,2,4,0.500,0,0,0.000,0,3,3,1,1,1,1,4,12,-18.000
Kenyon Martin,F,35:32,2,5,0.400,0,0,0.000,2,2,1.000,2,6,8,1,1,0,2,3,6,-6.000
Nene,C,28:54,3,8,0.375,0,0,0.000,4,8,0.500,0,2,2,2,2,1,0,4,10,-19.000
Arron Afflalo,G,9:29,0,2,0.000,0,0,0.000,1,2,0.500,0,1,1,0,0,0,0,1,1,-14.000
Ty Lawson,G,43:33,7,15,0.467,1,4,0.250,1,2,0.500,2,5,7,6,2,0,1,1,16,-7.000
Danilo Gallinari,,31:28,5,12,0.417,2,6,0.333,11,12,0.917,0,2,2,1,0,0,3,2,23,6.000
J.R. Smith,,31:22,11,19,0.579,4,9,0.444,1,2,0.500,0,3,3,0,0,0,0,1,27,16.000
Chris Andersen,,15:09,0,0,0.000,0,0,0.000,0,0,0.000,0,5,5,1,1,0,1,2,0,12.000
Gary Forbes,,8:04,1,2,0.500,1,1,1.000,0,0,0.000,0,0,0,2,1,0,1,0,3,5.000
Timofey Mozgov,,3:36,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,0.000
MIA
LeBron James,F,40:40,15,25,0.600,1,4,0.250,2,2,1.000,0,6,6,2,2,0,5,3,33,16.000
Chris Bosh,F,37:12,4,9,0.444,0,1,0.000,10,11,0.909,2,9,11,6,0,0,2,3,18,14.000
Erick Dampier,C,19:08,0,0,0.000,0,0,0.000,0,0,0.000,0,9,9,1,0,2,1,2,0,13.000
Dwyane Wade,G,39:17,10,20,0.500,1,3,0.333,11,13,0.846,1,1,2,2,1,3,2,3,32,10.000
Mario Chalmers,G,10:53,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,2,0,0,0,1,2,9.000
Jamaal Magloire,,2:20,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,2,0,1.000
Mike Miller,,17:49,0,1,0.000,0,1,0.000,0,0,0.000,0,2,2,0,1,1,0,1,0,-20.000
James Jones,,9:05,0,3,0.000,0,2,0.000,0,0,0.000,0,2,2,0,0,0,0,2,0,-5.000
Joel Anthony,,26:10,1,1,1.000,0,0,0.000,1,2,0.500,1,2,3,0,0,4,2,4,3,-9.000
Mike Bibby,,34:01,5,9,0.556,4,8,0.500,0,0,0.000,0,1,1,2,1,1,0,1,14,-3.000
Eddie House,,3:25,0,0,0.000,0,0,0.000,1,1,1.000,0,0,0,0,1,0,0,0,1,-1.000
