03-23,CHI-ATL,114-81,Team,
31-21,41-22,26-17,16-21,
CHI
Luol Deng,F,33:57,10,15,0.667,1,3,0.333,6,6,1.000,1,3,4,1,0,1,0,1,27,39.000
Carlos Boozer,F,22:50,3,8,0.375,0,0,0.000,0,2,0.000,0,3,3,4,0,0,1,3,6,23.000
Joakim Noah,C,24:54,4,6,0.667,0,0,0.000,0,0,0.000,2,5,7,3,0,0,2,4,8,18.000
Keith Bogans,G,23:15,2,2,1.000,2,2,1.000,0,0,0.000,0,2,2,2,0,0,1,2,6,16.000
Derrick Rose,G,28:50,11,20,0.550,6,8,0.750,2,3,0.667,2,2,4,10,0,0,1,0,30,26.000
Taj Gibson,,21:03,4,6,0.667,0,0,0.000,1,1,1.000,3,5,8,1,0,2,2,4,9,16.000
Kurt Thomas,,10:05,2,2,1.000,0,0,0.000,0,0,0.000,0,3,3,0,1,0,0,2,4,7.000
Ronnie Brewer,,17:47,0,2,0.000,0,0,0.000,0,0,0.000,0,2,2,0,1,1,0,1,0,5.000
Omer Asik,,17:08,1,1,1.000,0,0,0.000,5,8,0.625,1,0,1,0,0,0,1,3,7,2.000
CJ Watson,,19:10,3,9,0.333,0,2,0.000,2,2,1.000,1,2,3,6,2,0,3,0,8,7.000
Kyle Korver,,16:54,3,6,0.500,1,2,0.500,2,2,1.000,0,3,3,3,0,0,0,1,9,12.000
Rasual Butler,,4:07,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-6.000
ATL
Marvin Williams,F,22:38,3,8,0.375,0,0,0.000,3,4,0.750,1,3,4,0,0,0,0,1,9,-20.000
Josh Smith,F,27:29,6,12,0.500,0,0,0.000,2,4,0.500,0,2,2,0,2,1,0,3,14,-24.000
Al Horford,C,28:50,6,7,0.857,0,0,0.000,2,2,1.000,1,2,3,2,0,2,2,4,14,-28.000
Joe Johnson,G,31:60,6,11,0.545,0,0,0.000,1,2,0.500,1,4,5,3,0,0,1,2,13,-32.000
Kirk Hinrich,G,27:58,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,5,0,0,2,1,0,-29.000
Jamal Crawford,,26:12,1,4,0.250,0,0,0.000,0,0,0.000,0,1,1,1,0,0,2,0,2,-12.000
Zaza Pachulia,,15:03,0,3,0.000,0,0,0.000,5,6,0.833,1,1,2,2,0,0,1,4,5,-26.000
Damien Wilkins,,16:11,0,2,0.000,0,0,0.000,0,0,0.000,0,3,3,1,1,0,2,3,0,-4.000
Jason Collins,,3:37,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-4.000
Jeff Teague,,19:01,6,9,0.667,4,4,1.000,4,4,1.000,0,2,2,2,0,2,1,0,20,-2.000
Hilton Armstrong,,12:49,1,3,0.333,1,1,1.000,1,2,0.500,1,3,4,0,2,2,2,2,4,4.000
Josh Powell,,8:12,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,12.000
