03-24,UTA-OKC,94-106,Team,
25-32,20-18,24-28,25-28,
UTA
Andrei Kirilenko,F,13:42,1,5,0.200,1,3,0.333,0,0,0.000,0,0,0,0,2,0,0,0,3,-5.000
Paul Millsap,F,37:46,6,10,0.600,0,0,0.000,6,8,0.750,3,4,7,3,0,2,6,2,18,-9.000
Al Jefferson,C,41:23,14,18,0.778,0,0,0.000,4,5,0.800,3,9,12,2,0,0,0,4,32,-14.000
CJ Miles,G,32:53,2,12,0.167,1,5,0.200,6,7,0.857,0,1,1,2,0,1,2,4,11,6.000
Earl Watson,G,33:15,3,4,0.750,2,3,0.667,2,2,1.000,0,2,2,1,3,0,2,2,10,-7.000
Gordon Hayward,,27:48,1,10,0.100,1,3,0.333,4,6,0.667,1,3,4,3,2,0,1,3,7,-8.000
Raja Bell,,21:37,1,3,0.333,1,1,1.000,0,0,0.000,1,2,3,4,0,0,0,4,3,-17.000
Jeremy Evans,,15:10,1,3,0.333,0,0,0.000,2,2,1.000,0,1,1,0,0,0,1,3,4,0.000
Ronnie Price,,14:45,2,4,0.500,0,1,0.000,2,2,1.000,0,0,0,1,0,0,1,1,6,-5.000
Francisco Elson,,0:17,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Kyrylo Fesenko,,1:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
OKC
Kevin Durant,F,38:27,7,12,0.583,2,4,0.500,13,15,0.867,0,2,2,3,0,0,3,1,29,14.000
Serge Ibaka,F,31:43,6,11,0.545,0,0,0.000,3,4,0.750,3,10,13,0,0,4,0,5,15,2.000
Kendrick Perkins,C,26:20,2,4,0.500,0,0,0.000,0,0,0.000,0,3,3,0,0,2,4,2,4,-6.000
Thabo Sefolosha,G,25:19,1,2,0.500,0,0,0.000,0,0,0.000,1,2,3,4,2,0,1,1,2,-2.000
Russell Westbrook,G,36:03,11,17,0.647,1,2,0.500,8,9,0.889,0,4,4,5,2,1,3,2,31,13.000
Nick Collison,,20:53,1,1,1.000,0,0,0.000,2,4,0.500,1,3,4,0,0,0,0,2,4,18.000
Nazr Mohammed,,16:48,5,8,0.625,0,0,0.000,0,0,0.000,2,2,4,0,0,0,0,4,10,10.000
James Harden,,27:01,3,9,0.333,1,4,0.250,4,4,1.000,1,1,2,0,0,0,2,5,11,15.000
Eric Maynor,,11:57,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,3,0,0,0,1,0,-1.000
Daequan Cook,,5:30,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,1,0,-3.000
