03-26,TOR-GSW,100-138,Team,
36-45,22-39,16-32,26-22,
TOR
Ed Davis,F,36:10,5,9,0.556,0,0,0.000,8,12,0.667,5,6,11,0,1,0,3,3,18,-18.000
James Johnson,F,35:40,6,11,0.545,0,1,0.000,2,4,0.500,2,3,5,4,2,2,2,3,14,-41.000
Andrea Bargnani,C,27:25,2,10,0.200,0,0,0.000,3,4,0.750,0,0,0,5,0,0,0,3,7,-40.000
DeMar DeRozan,G,28:07,8,12,0.667,1,1,1.000,2,2,1.000,0,1,1,0,2,0,4,1,19,-37.000
Jose Calderon,G,13:50,1,3,0.333,1,1,1.000,0,0,0.000,0,0,0,5,0,0,0,0,3,-7.000
Alexis Ajinca,,24:23,3,7,0.429,1,3,0.333,0,0,0.000,0,8,8,3,1,2,2,5,7,-3.000
Jerryd Bayless,,27:60,4,9,0.444,0,1,0.000,1,2,0.500,0,2,2,4,0,0,3,4,9,-31.000
Leandro Barbosa,,25:06,7,11,0.636,3,5,0.600,2,2,1.000,1,2,3,0,0,0,1,1,19,-5.000
Sonny Weems,,21:20,2,9,0.222,0,1,0.000,0,0,0.000,2,2,4,5,0,0,2,0,4,-8.000
GSW
Dorell Wright,F,30:13,9,11,0.818,1,3,0.333,7,8,0.875,0,4,4,3,4,0,1,0,26,34.000
David Lee,F,24:29,8,9,0.889,1,1,1.000,4,4,1.000,0,7,7,4,1,1,1,2,21,34.000
Ekpe Udoh,C,29:08,5,7,0.714,0,0,0.000,0,0,0.000,2,3,5,3,1,4,0,5,10,28.000
Monta Ellis,G,41:41,9,17,0.529,3,5,0.600,6,6,1.000,0,4,4,10,4,0,1,2,27,42.000
Stephen Curry,G,36:19,7,13,0.538,4,6,0.667,5,5,1.000,0,3,3,8,0,0,3,2,23,43.000
Reggie Williams,,23:05,4,6,0.667,1,2,0.500,1,1,1.000,1,4,5,4,0,0,0,0,10,4.000
Al Thornton,,20:04,5,11,0.455,0,0,0.000,2,4,0.500,1,5,6,0,1,0,3,6,12,14.000
Lou Amundson,,23:31,3,5,0.600,0,0,0.000,1,2,0.500,2,2,4,0,1,0,0,2,7,4.000
Jeff Adrien,,8:10,1,4,0.250,0,0,0.000,0,2,0.000,0,1,1,1,0,0,0,0,2,-7.000
Vladimir Radmanovic,,3:20,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,3,0,-6.000
