04-08,BOS-CHI,81-97,Team,
18-26,25-22,17-23,21-26,
BOS
Paul Pierce,F,31:47,6,13,0.462,1,5,0.200,2,2,1.000,0,4,4,1,0,1,4,2,15,-15.000
Kevin Garnett,F,30:18,3,9,0.333,0,0,0.000,4,4,1.000,0,10,10,2,2,0,1,0,10,-4.000
Ray Allen,G,38:04,3,11,0.273,0,3,0.000,1,1,1.000,1,5,6,2,0,0,0,2,7,0.000
Rajon Rondo,G,31:24,3,10,0.300,0,0,0.000,1,3,0.333,3,2,5,6,1,0,0,1,7,-14.000
Glen Davis,,28:39,1,8,0.125,0,0,0.000,6,6,1.000,2,1,3,2,0,0,0,2,8,-7.000
Jeff Green,,21:24,4,7,0.571,0,0,0.000,2,2,1.000,1,1,2,0,0,0,1,1,10,-12.000
Nenad Krstic,,17:42,1,2,0.500,0,0,0.000,4,4,1.000,1,2,3,0,0,0,1,2,6,-12.000
Delonte West,,18:30,4,7,0.571,1,2,0.500,0,0,0.000,0,2,2,1,0,0,3,1,9,-5.000
Sasha Pavlovic,,2:51,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,2,-2.000
Troy Murphy,,2:51,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-2.000
CHI
Luol Deng,F,36:41,9,18,0.500,3,6,0.500,2,2,1.000,2,4,6,1,1,2,1,4,23,16.000
Carlos Boozer,F,35:38,6,16,0.375,0,0,0.000,2,3,0.667,1,11,12,2,1,1,2,4,14,15.000
Joakim Noah,C,23:01,1,3,0.333,0,0,0.000,0,0,0.000,2,4,6,2,0,0,1,2,2,4.000
Keith Bogans,G,17:24,2,3,0.667,2,3,0.667,0,0,0.000,0,4,4,0,0,0,1,2,6,4.000
Derrick Rose,G,39:39,9,16,0.563,2,5,0.400,10,10,1.000,1,4,5,8,2,0,3,3,30,24.000
Ronnie Brewer,,17:17,2,4,0.500,0,0,0.000,0,0,0.000,2,0,2,1,2,0,0,0,4,10.000
Taj Gibson,,13:20,3,5,0.600,0,0,0.000,0,0,0.000,1,2,3,1,3,1,1,0,6,2.000
Kurt Thomas,,18:55,1,2,0.500,0,0,0.000,0,0,0.000,0,5,5,1,0,1,1,4,2,15.000
Kyle Korver,,23:58,2,7,0.286,1,5,0.200,0,0,0.000,0,1,1,3,0,0,1,2,5,1.000
Omer Asik,,5:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
CJ Watson,,8:21,1,3,0.333,0,2,0.000,0,0,0.000,0,0,0,2,0,0,1,0,2,-8.000
Rasual Butler,,0:41,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,1.000
