04-27,NOH-LAL,90-106,Playoff,
32-23,19-31,21-25,18-27,
NOH
Trevor Ariza,F,33:13,8,17,0.471,5,8,0.625,1,1,1.000,0,2,2,3,3,0,2,3,22,-13.000
Carl Landry,F,35:38,3,7,0.429,0,0,0.000,2,4,0.500,2,2,4,2,2,1,3,3,8,-7.000
Emeka Okafor,C,37:41,2,3,0.667,0,0,0.000,1,4,0.250,1,4,5,0,2,1,3,5,5,-7.000
Marco Belinelli,G,39:05,8,14,0.571,3,5,0.600,2,2,1.000,0,0,0,1,1,0,0,2,21,-14.000
Chris Paul,G,40:42,6,12,0.500,1,3,0.333,7,8,0.875,0,4,4,12,1,0,4,1,20,-7.000
Willie Green,,15:26,4,7,0.571,0,2,0.000,0,0,0.000,0,1,1,2,0,0,1,4,8,-1.000
Aaron Gray,,13:48,0,0,0.000,0,0,0.000,0,0,0.000,0,6,6,0,0,1,1,2,0,-2.000
Jarrett Jack,,14:16,0,3,0.000,0,1,0.000,1,2,0.500,0,2,2,1,0,0,3,2,1,-14.000
Jason Smith,,8:01,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,3,2,-15.000
Quincy Pondexter,,1:05,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0.000
Patrick Ewing Jr.,,1:05,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,0.000
LAL
Metta World Peace,F,32:35,4,8,0.500,1,3,0.333,2,2,1.000,1,1,2,2,0,0,2,2,11,2.000
Pau Gasol,F,37:35,6,12,0.500,0,0,0.000,4,5,0.800,2,6,8,4,0,3,3,2,16,12.000
Andrew Bynum,C,29:16,6,11,0.545,0,0,0.000,6,7,0.857,5,5,10,2,0,2,3,3,18,7.000
Kobe Bryant,G,28:38,8,13,0.615,0,1,0.000,3,4,0.750,1,1,2,4,1,0,3,3,19,9.000
Derek Fisher,G,33:33,5,6,0.833,2,3,0.667,1,2,0.500,0,2,2,3,1,1,1,1,13,2.000
Lamar Odom,,28:46,4,12,0.333,1,4,0.250,4,4,1.000,1,6,7,2,1,1,1,3,13,13.000
Shannon Brown,,19:22,2,8,0.250,2,5,0.400,2,2,1.000,1,3,4,0,0,0,0,1,8,7.000
Matt Barnes,,15:25,1,4,0.250,0,1,0.000,3,4,0.750,4,0,4,1,1,0,2,3,5,14.000
Steve Blake,,14:50,1,1,1.000,1,1,1.000,0,0,0.000,0,3,3,3,1,0,0,2,3,14.000
