10-10,MEM-NOH,97-90,Preseason,
19-31,22-15,30-28,26-16,
MEM
Acie Law,,19,1,6,0.167,0,1,0.000,2,2,1.000,0,2,2,3,1,0,3,2,4,0
Darrell Arthur,,19,4,7,0.571,0,0,0.000,0,0,0.000,4,3,7,1,0,2,0,0,8,0
DeMarre Carroll,,6,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,0
Hasheem Thabeet,,14,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,0,1,2,1,5,4,0
Josh Davis,,13,2,4,0.500,0,1,0.000,2,2,1.000,3,2,5,0,0,0,0,0,6,0
Luke Jackson,,4,0,0,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,1,0,0
Marc Gasol,,26,2,6,0.333,0,1,0.000,3,4,0.750,1,9,10,1,2,2,2,2,7,0
Mike Conley,,23,3,5,0.600,1,1,1.000,0,0,0.000,1,1,2,4,0,0,2,1,7,0
O.J. Mayo,,19,4,11,0.364,1,3,0.333,2,2,1.000,0,1,1,1,1,0,3,1,11,0
Rudy Gay,,19,0,7,0.000,0,1,0.000,0,0,0.000,1,3,4,1,0,1,1,1,0,0
Sam Young,,19,5,8,0.625,1,2,0.500,1,2,0.500,2,3,5,2,0,0,0,2,12,0
Tony Allen,,8,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,1,2,0
Tre Kelley,,6,1,3,0.333,0,1,0.000,4,4,1.000,0,3,3,2,0,0,2,0,6,0
Xavier Henry,,21,2,6,0.333,0,2,0.000,3,3,1.000,1,0,1,0,1,1,1,3,7,0
Zach Randolph,,24,6,9,0.667,0,0,0.000,9,12,0.750,2,4,6,1,2,1,2,1,21,0
NOH
Aaron Gray,,12,0,2,0.000,0,0,0.000,0,0,0.000,1,6,7,0,0,1,3,4,0,0
Chris Paul,,25,4,7,0.571,1,2,0.500,3,3,1.000,0,2,2,4,2,0,1,2,12,0
Darryl Watkins,,7,1,2,0.500,0,0,0.000,0,0,0.000,2,1,3,0,0,0,1,1,2,0
David West,,25,5,11,0.455,0,0,0.000,2,2,1.000,3,0,3,4,1,1,3,4,12,0
Emeka Okafor,,19,1,3,0.333,0,0,0.000,4,6,0.667,3,6,9,0,1,1,0,3,6,0
Jason Smith,,5,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,0
Joe Alexander,,16,0,3,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,2,0,0
Marco Belinelli,,22,4,9,0.444,3,4,0.750,2,2,1.000,0,0,0,4,0,0,0,2,13,0
Marcus Thornton,,27,2,12,0.167,1,3,0.333,3,4,0.750,1,2,3,3,1,0,4,0,8,0
Mustafa Shakur,,10,1,4,0.250,1,2,0.500,0,0,0.000,0,1,1,0,1,0,2,1,3,0
Peja Stojakovic,,8,0,3,0.000,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0
Quincy Pondexter,,15,4,8,0.500,1,2,0.500,0,0,0.000,0,0,0,1,1,0,0,3,9,0
Trevor Ariza,,25,5,8,0.625,3,3,1.000,4,4,1.000,0,3,3,1,1,0,1,0,17,0
Willie Green,,13,2,4,0.500,1,1,1.000,0,0,0.000,0,2,2,2,0,0,2,3,5,0
