10-14,MIA-NOH,76-90,Preseason,
16-27,13-18,36-19,11-26,
MIA
Chris Bosh,,23,9,15,0.600,0,0,0.000,6,6,1.000,0,5,5,1,2,0,2,3,24,0
Dexter Pittman,,8,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,4,2,0
James Jones,,35,5,13,0.385,5,11,0.455,0,0,0.000,0,3,3,0,0,0,3,4,15,0
Joel Anthony,,19,1,2,0.500,0,0,0.000,0,0,0.000,1,2,3,0,0,3,2,2,2,0
Juwan Howard,,17,2,4,0.500,0,0,0.000,0,0,0.000,0,0,0,2,0,0,0,1,4,0
Kenny Hasbrouck,,41,1,11,0.091,0,6,0.000,1,2,0.500,0,2,2,7,0,0,5,4,3,0
Mike Miller,,30,4,8,0.500,2,3,0.667,1,1,1.000,0,6,6,2,1,0,1,2,11,0
Patrick Beverley,,32,1,3,0.333,1,3,0.333,6,6,1.000,1,4,5,4,1,0,4,3,9,0
Udonis Haslem,,19,3,6,0.500,0,0,0.000,0,0,0.000,4,7,11,0,0,1,1,2,6,0
Zydrunas Ilgauskas,,17,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,2,0,1,1,6,0,0
NOH
Aaron Gray,,22,0,0,0.000,0,0,0.000,4,6,0.667,2,5,7,1,1,0,1,4,4,0
Chris Paul,,28,2,9,0.222,0,1,0.000,3,3,1.000,0,1,1,7,2,1,1,2,7,0
Emeka Okafor,,26,3,13,0.231,0,0,0.000,9,11,0.818,5,2,7,0,2,0,1,3,15,0
Jason Smith,,33,3,8,0.375,0,0,0.000,7,8,0.875,2,6,8,1,2,1,0,4,13,0
Marco Belinelli,,32,7,10,0.700,3,4,0.750,2,4,0.500,1,3,4,4,0,0,1,1,19,0
Marcus Thornton,,16,2,4,0.500,0,1,0.000,0,0,0.000,0,2,2,0,2,0,3,2,4,0
Peja Stojakovic,,18,2,7,0.286,2,6,0.333,0,0,0.000,0,3,3,1,0,0,0,0,6,0
Quincy Pondexter,,12,2,6,0.333,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,0,5,0
Trevor Ariza,,27,2,7,0.286,1,3,0.333,2,2,1.000,2,1,3,2,0,0,0,2,7,0
Willie Green,,20,3,8,0.375,2,2,1.000,2,2,1.000,1,1,2,2,0,0,0,3,10,0
