10-17,LAB-SAS,85-108,Preseason,
22-28,14-33,30-23,19-24,
LAB
SAS
Alonzo Gee,,6,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,2,2,0
Antonio McDyess,,19,3,5,0.600,0,0,0.000,0,0,0.000,2,5,7,6,0,0,3,2,6,0
Bobby Simmons,,15,0,1,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,1,0,2,2,0
Curtis Jerrells,,11,1,5,0.200,0,1,0.000,0,0,0.000,1,1,2,1,1,0,2,0,2,0
DeJuan Blair,,17,2,5,0.400,0,0,0.000,0,0,0.000,5,7,12,0,0,0,0,1,4,0
Garrett Temple,,13,4,8,0.500,0,1,0.000,0,0,0.000,1,1,2,3,0,0,0,1,8,0
Gary Neal,,22,5,11,0.455,2,4,0.500,0,0,0.000,0,3,3,2,2,0,0,0,12,0
James Anderson,,24,2,7,0.286,1,2,0.500,3,4,0.750,0,1,1,1,0,0,0,2,8,0
Manu Ginobili,,23,2,7,0.286,0,1,0.000,3,3,1.000,1,3,4,3,2,0,3,3,7,0
Marcus Cousin,,6,2,2,1.000,0,0,0.000,0,0,0.000,0,2,2,0,1,0,0,1,4,0
Matt Bonner,,25,6,10,0.600,3,7,0.429,0,0,0.000,3,4,7,3,0,1,1,2,15,0
Richard Jefferson,,21,2,3,0.667,1,1,1.000,1,2,0.500,0,3,3,1,0,0,0,0,6,0
Tim Duncan,,15,5,11,0.455,0,0,0.000,0,1,0.000,5,6,11,1,0,0,2,2,10,0
Tony Parker,,24,9,17,0.529,0,0,0.000,4,4,1.000,0,4,4,2,3,0,2,0,22,0
