10-30,SAC-NJN,100-106,Team,
21-29,32-32,24-15,23-30,
SAC
Omri Casspi,F,20:06,2,9,0.222,0,5,0.000,3,3,1.000,1,1,2,1,0,0,2,3,7,-16.000
Carl Landry,F,27:52,7,13,0.538,0,0,0.000,0,0,0.000,1,2,3,0,1,0,4,5,14,-13.000
DeMarcus Cousins,C,21:11,3,8,0.375,0,0,0.000,6,6,1.000,1,3,4,0,0,0,0,6,12,-4.000
Tyreke Evans,G,36:13,8,19,0.421,1,2,0.500,1,3,0.333,0,4,4,7,1,0,4,3,18,-20.000
Beno Udrih,G,36:13,5,15,0.333,0,5,0.000,4,6,0.667,1,4,5,4,1,0,0,2,14,0.000
Samuel Dalembert,,6:23,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,2,0,0,0,-12.000
Jason Thompson,,14:23,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,3,0,0,1,5,2,-6.000
Francisco Garcia,,31:38,7,12,0.583,4,6,0.667,0,1,0.000,0,3,3,2,2,1,0,2,18,0.000
Luther Head,,20:20,0,2,0.000,0,1,0.000,0,0,0.000,1,1,2,4,1,0,1,4,0,18.000
Darnell Jackson,,22:08,5,9,0.556,0,1,0.000,2,5,0.400,3,3,6,0,1,0,0,2,12,13.000
Donte Greene,,3:33,1,1,1.000,0,0,0.000,1,2,0.500,1,0,1,0,0,0,0,0,3,10.000
NJN
Travis Outlaw,F,31:01,5,9,0.556,2,3,0.667,6,7,0.857,0,5,5,1,0,0,2,4,18,3.000
Joe Smith,F,9:53,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,1,2,6.000
Brook Lopez,C,35:50,8,16,0.500,0,0,0.000,13,15,0.867,1,5,6,1,0,1,5,5,29,15.000
Anthony Morrow,G,34:12,1,4,0.250,0,2,0.000,2,3,0.667,0,2,2,0,0,1,0,1,4,14.000
Devin Harris,G,35:01,7,10,0.700,2,2,1.000,5,8,0.625,0,5,5,10,1,0,4,4,21,19.000
Derrick Favors,,19:49,4,5,0.800,0,0,0.000,2,2,1.000,3,4,7,0,0,1,2,5,10,-1.000
Jordan Farmar,,25:37,3,8,0.375,2,4,0.500,6,6,1.000,0,4,4,3,1,0,3,2,14,4.000
Terrence Williams,,11:14,1,4,0.250,0,0,0.000,1,2,0.500,0,3,3,1,0,0,5,1,3,-18.000
Damion James,,7:11,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,0.000
Johan Petro,,7:15,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,1,2,3,0,-9.000
Kris Humphries,,22:43,2,2,1.000,0,0,0.000,1,2,0.500,0,8,8,0,0,0,2,3,5,-2.000
Stephen Graham,,0:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
