11-08,BOS-OKC,92-83,Team,
28-21,30-16,15-27,19-19,
BOS
Paul Pierce,F,31:59,6,14,0.429,0,2,0.000,5,6,0.833,0,2,2,0,0,0,0,2,17,-2.000
Kevin Garnett,F,32:13,3,10,0.300,0,0,0.000,2,2,1.000,0,8,8,2,3,1,3,1,8,-4.000
Ray Allen,G,40:14,8,16,0.500,3,7,0.429,0,0,0.000,0,5,5,2,0,0,3,0,19,8.000
Rajon Rondo,G,36:14,5,8,0.625,0,0,0.000,0,2,0.000,2,3,5,10,3,0,4,3,10,2.000
Glen Davis,,28:16,4,7,0.571,0,0,0.000,0,0,0.000,2,3,5,2,1,0,0,3,8,1.000
Marquis Daniels,,19:18,3,5,0.600,0,0,0.000,1,1,1.000,1,0,1,1,1,0,0,1,7,11.000
Semih Erden,,13:57,2,4,0.500,0,0,0.000,5,5,1.000,1,3,4,1,0,0,0,1,9,9.000
Nate Robinson,,13:34,4,7,0.571,1,1,1.000,0,0,0.000,0,1,1,3,0,0,1,3,9,10.000
Von Wafer,,2:45,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
OKC
Kevin Durant,F,43:28,11,22,0.500,2,3,0.667,10,11,0.909,0,6,6,3,2,0,4,3,34,-10.000
Serge Ibaka,F,36:49,4,11,0.364,0,0,0.000,0,0,0.000,2,9,11,0,1,0,0,3,8,10.000
Nenad Krstic,C,41:23,6,12,0.500,0,0,0.000,1,1,1.000,2,6,8,0,0,0,2,2,13,-5.000
Thabo Sefolosha,G,23:05,0,3,0.000,0,0,0.000,0,0,0.000,1,2,3,2,1,0,0,3,0,1.000
Russell Westbrook,G,43:24,6,16,0.375,0,2,0.000,4,5,0.800,2,2,4,10,4,2,8,4,16,0.000
James Harden,,19:51,2,2,1.000,2,2,1.000,0,0,0.000,1,3,4,1,0,0,2,3,6,-15.000
Cole Aldrich,,13:51,0,1,0.000,0,0,0.000,0,0,0.000,1,3,4,0,1,0,0,2,0,-14.000
Eric Maynor,,12:52,3,6,0.500,0,1,0.000,0,0,0.000,0,0,0,1,0,0,2,1,6,-11.000
Daequan Cook,,5:17,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
