11-16,MIN-CHA,110-113,Team,
27-22,33-38,21-24,29-29,
MIN
Michael Beasley,F,38:42,12,25,0.480,3,3,1.000,1,3,0.333,2,3,5,2,0,2,2,4,28,-10.000
Kevin Love,F,32:25,8,16,0.500,1,3,0.333,3,3,1.000,2,7,9,0,1,1,4,5,20,-7.000
Darko Milicic,C,37:40,5,11,0.455,0,0,0.000,3,4,0.750,4,8,12,5,0,4,0,4,13,-11.000
Wesley Johnson,G,28:41,2,5,0.400,0,2,0.000,0,2,0.000,0,2,2,4,0,2,0,1,4,0.000
Sebastian Telfair,G,30:44,5,11,0.455,1,2,0.500,0,0,0.000,0,1,1,6,0,0,3,3,11,-10.000
Anthony Tolliver,,21:40,4,8,0.500,2,4,0.500,3,4,0.750,0,4,4,0,1,0,0,2,13,14.000
Corey Brewer,,25:48,3,9,0.333,1,2,0.500,4,5,0.800,1,2,3,1,2,0,1,4,11,4.000
Lazar Hayward,,5:42,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,1,1,0,0,3,0,-3.000
Sundiata Gaines,,17:13,4,5,0.800,1,2,0.500,1,2,0.500,0,1,1,2,0,0,0,1,10,8.000
Kosta Koufos,,1:26,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
CHA
Gerald Wallace,F,40:06,4,10,0.400,1,3,0.333,17,19,0.895,0,4,4,5,2,1,3,6,26,7.000
Boris Diaw,F,24:41,3,6,0.500,0,1,0.000,0,0,0.000,1,6,7,0,0,1,2,3,6,-2.000
Nazr Mohammed,C,15:16,5,9,0.556,0,0,0.000,1,1,1.000,0,4,4,1,0,2,0,4,11,2.000
Stephen Jackson,G,41:40,9,16,0.563,5,6,0.833,3,3,1.000,1,1,2,3,1,0,0,0,26,9.000
D.J. Augustin,G,35:07,3,9,0.333,1,3,0.333,2,4,0.500,1,4,5,11,0,0,1,1,9,9.000
Tyrus Thomas,,30:52,8,11,0.727,0,0,0.000,4,7,0.571,3,7,10,0,2,4,7,3,20,12.000
Kwame Brown,,11:03,1,2,0.500,0,0,0.000,1,2,0.500,1,2,3,0,0,3,0,3,3,-9.000
Shaun Livingston,,14:14,1,1,1.000,0,0,0.000,1,2,0.500,0,5,5,4,0,0,1,2,3,-10.000
Sherron Collins,,7:53,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,0.000
DeSagana Diop,,10:01,1,2,0.500,0,0,0.000,0,0,0.000,1,3,4,0,0,0,2,1,2,-2.000
Derrick Brown,,9:08,3,5,0.600,0,1,0.000,1,2,0.500,0,1,1,0,0,0,0,0,7,-1.000
