11-28,ORL-WAS,100-99,Team,
30-20,25-23,19-29,26-27,
ORL
Rashard Lewis,F,30:50,3,11,0.273,1,5,0.200,2,2,1.000,1,1,2,3,0,1,2,1,9,1.000
Quentin Richardson,F,32:21,6,12,0.500,4,7,0.571,4,4,1.000,2,4,6,2,0,0,1,5,20,6.000
Dwight Howard,C,41:22,12,19,0.632,0,0,0.000,8,14,0.571,4,7,11,1,0,2,3,2,32,4.000
JJ Redick,G,25:25,2,3,0.667,1,1,1.000,3,3,1.000,0,2,2,3,1,0,0,4,8,3.000
Jameer Nelson,G,31:08,5,13,0.385,1,3,0.333,0,0,0.000,1,2,3,4,0,0,2,3,11,-2.000
Chris Duhon,,18:13,2,4,0.500,0,0,0.000,0,0,0.000,0,1,1,3,1,0,2,2,4,1.000
Brandon Bass,,17:10,2,5,0.400,0,0,0.000,3,4,0.750,1,1,2,0,0,0,1,0,7,0.000
Marcin Gortat,,6:38,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,1,0,1,0,1,2,-3.000
Mickael Pietrus,,29:19,1,4,0.250,1,4,0.250,0,0,0.000,0,7,7,1,2,0,2,3,3,-4.000
Jason Williams,,7:34,2,3,0.667,0,1,0.000,0,0,0.000,0,2,2,1,1,0,0,0,4,-1.000
WAS
Alonzo Gee,F,30:02,3,5,0.600,0,0,0.000,2,4,0.500,5,2,7,2,4,0,2,0,8,2.000
Andray Blatche,F,37:30,4,11,0.364,0,0,0.000,2,2,1.000,3,10,13,4,2,2,2,4,10,-1.000
JaVale McGee,C,26:11,4,6,0.667,0,0,0.000,1,4,0.250,3,4,7,1,1,2,1,5,9,15.000
Kirk Hinrich,G,34:00,3,12,0.250,2,4,0.500,1,1,1.000,1,2,3,4,1,0,1,3,9,-6.000
Gilbert Arenas,G,36:31,9,23,0.391,1,6,0.167,12,14,0.857,0,5,5,5,0,1,2,4,31,-7.000
Hilton Armstrong,,11:58,1,2,0.500,0,0,0.000,0,0,0.000,1,4,5,0,1,1,0,4,2,-6.000
Kevin Seraphin,,9:51,2,3,0.667,0,0,0.000,0,0,0.000,1,0,1,0,0,1,1,3,4,-10.000
Nick Young,,32:18,8,15,0.533,3,4,0.750,2,2,1.000,0,1,1,2,1,0,2,1,21,7.000
Cartier Martin,,11:09,1,2,0.500,1,2,0.500,0,0,0.000,1,1,2,0,0,0,0,0,3,1.000
Trevor Booker,,10:30,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,1,2,0.000
