12-04,PHI-ATL,88-93,Team,
26-18,28-28,20-23,14-24,
PHI
Andre Iguodala,F,39:24,4,12,0.333,0,2,0.000,2,2,1.000,0,8,8,8,2,1,0,1,10,-12.000
Elton Brand,F,38:05,7,16,0.438,0,0,0.000,2,3,0.667,3,11,14,1,2,0,3,3,16,-11.000
Spencer Hawes,C,20:45,4,7,0.571,0,0,0.000,1,2,0.500,1,7,8,4,0,0,1,2,9,9.000
Jodie Meeks,G,19:08,2,3,0.667,2,3,0.667,3,4,0.750,0,1,1,0,1,0,2,1,9,0.000
Jrue Holiday,G,29:45,2,7,0.286,0,2,0.000,0,0,0.000,0,1,1,5,0,0,3,1,4,-7.000
Lou Williams,,26:18,5,12,0.417,1,3,0.333,1,3,0.333,0,2,2,6,1,0,0,5,12,-4.000
Evan Turner,,19:11,5,7,0.714,0,1,0.000,1,1,1.000,0,4,4,1,0,0,0,3,11,4.000
Marreese Speights,,14:01,4,7,0.571,0,0,0.000,0,0,0.000,1,1,2,1,0,1,1,3,8,-2.000
Thaddeus Young,,17:48,2,8,0.250,0,1,0.000,2,2,1.000,2,1,3,0,0,0,0,2,6,5.000
Tony Battie,,15:23,1,4,0.250,0,0,0.000,1,2,0.500,2,3,5,0,0,0,1,1,3,-5.000
Jason Kapono,,0:12,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
ATL
Marvin Williams,F,33:39,7,12,0.583,0,1,0.000,8,8,1.000,0,2,2,0,4,0,1,5,22,16.000
Josh Smith,F,26:57,4,15,0.267,1,1,1.000,0,1,0.000,0,10,10,3,2,1,1,2,9,-10.000
Al Horford,C,36:20,5,15,0.333,0,0,0.000,5,5,1.000,2,11,13,6,1,1,0,2,15,5.000
Maurice Evans,G,26:41,2,8,0.250,1,4,0.250,0,0,0.000,3,3,6,3,1,0,1,2,5,-23.000
Mike Bibby,G,28:49,3,8,0.375,1,3,0.333,0,0,0.000,0,0,0,3,0,1,1,0,7,9.000
Jamal Crawford,,35:40,5,8,0.625,1,3,0.333,4,6,0.667,0,0,0,4,1,0,2,1,15,17.000
Zaza Pachulia,,25:55,3,7,0.429,0,0,0.000,2,2,1.000,2,4,6,2,0,0,1,2,8,16.000
Jeff Teague,,19:11,1,3,0.333,0,0,0.000,4,6,0.667,0,5,5,4,0,0,2,1,6,-4.000
Josh Powell,,6:48,3,3,1.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,6,-1.000
