12-11,ATL-SAS,92-108,Team,
21-26,27-27,21-18,23-37,
ATL
Josh Smith,F,31:18,6,12,0.500,2,4,0.500,1,3,0.333,1,3,4,5,3,2,4,0,15,0.000
Al Horford,F,31:16,8,14,0.571,0,0,0.000,3,4,0.750,4,5,9,1,1,0,4,5,19,-19.000
Jason Collins,C,27:19,1,4,0.250,0,0,0.000,0,2,0.000,3,5,8,2,0,0,0,4,2,-2.000
Marvin Williams,G,42:08,5,10,0.500,2,3,0.667,3,4,0.750,0,7,7,0,1,0,2,0,15,-9.000
Mike Bibby,G,32:28,4,12,0.333,1,2,0.500,0,0,0.000,1,4,5,4,2,0,3,4,9,-17.000
Jamal Crawford,,34:29,8,18,0.444,2,5,0.400,5,5,1.000,1,2,3,5,1,2,2,2,23,-20.000
Josh Powell,,16:29,1,5,0.200,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,3,2,-6.000
Maurice Evans,,14:10,1,3,0.333,0,0,0.000,0,1,0.000,0,0,0,0,0,0,0,2,2,1.000
Damien Wilkins,,10:24,2,2,1.000,0,0,0.000,1,1,1.000,1,1,2,1,1,0,0,2,5,-8.000
SAS
Richard Jefferson,F,34:31,6,8,0.750,5,6,0.833,1,2,0.500,1,3,4,1,1,1,0,0,18,12.000
Tim Duncan,F,27:46,5,11,0.455,0,0,0.000,2,2,1.000,0,4,4,3,0,1,1,2,12,4.000
DeJuan Blair,C,26:19,7,10,0.700,0,0,0.000,2,4,0.500,3,9,12,3,4,1,3,3,16,15.000
Manu Ginobili,G,24:51,7,14,0.500,0,4,0.000,4,5,0.800,0,3,3,0,1,0,6,3,18,-4.000
Tony Parker,G,33:54,8,14,0.571,0,0,0.000,1,4,0.250,0,2,2,6,1,0,0,1,17,13.000
George Hill,,37:00,4,9,0.444,3,4,0.750,5,6,0.833,1,2,3,0,1,0,2,3,16,20.000
Antonio McDyess,,14:27,0,2,0.000,0,0,0.000,1,2,0.500,1,3,4,2,0,2,2,1,1,2.000
Matt Bonner,,24:29,2,4,0.500,2,4,0.500,0,0,0.000,2,2,4,1,1,0,0,2,6,8.000
Gary Neal,,13:29,2,5,0.400,0,3,0.000,0,0,0.000,0,2,2,2,0,0,0,1,4,4.000
Ime Udoka,,1:05,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,1,0,2.000
Chris Quinn,,1:05,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Tiago Splitter,,1:05,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,0,0,0,2.000
