12-11,DET-MIN,99-109,Team,
23-19,24-31,23-26,29-33,
DET
Tayshaun Prince,F,28:41,3,12,0.250,0,0,0.000,4,4,1.000,1,5,6,4,0,0,0,0,10,-4.000
Jason Maxiell,F,21:24,2,4,0.500,0,0,0.000,1,2,0.500,0,1,1,1,0,2,1,3,5,3.000
Greg Monroe,C,34:51,3,9,0.333,0,0,0.000,2,2,1.000,8,7,15,0,1,1,3,4,8,-4.000
Richard Hamilton,G,32:34,9,18,0.500,2,3,0.667,6,6,1.000,2,2,4,2,1,0,2,2,26,-8.000
Rodney Stuckey,G,33:11,5,16,0.313,0,1,0.000,9,10,0.900,1,3,4,6,2,0,2,0,19,-6.000
Charlie Villanueva,,26:11,2,7,0.286,1,5,0.200,4,4,1.000,0,5,5,1,0,1,2,4,9,-18.000
Will Bynum,,14:49,2,4,0.500,0,0,0.000,1,2,0.500,0,0,0,2,0,1,1,3,5,-4.000
Ben Gordon,,18:47,2,4,0.500,1,2,0.500,1,2,0.500,0,0,0,1,1,0,1,0,6,-3.000
Chris Wilcox,,10:55,3,6,0.500,0,0,0.000,3,4,0.750,2,1,3,0,0,0,0,4,9,0.000
Tracy McGrady,,18:37,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,3,1,0,0,0,2,-6.000
MIN
Michael Beasley,F,25:19,6,14,0.429,0,1,0.000,0,0,0.000,2,5,7,1,0,1,1,5,12,-4.000
Kevin Love,F,40:31,10,14,0.714,2,4,0.500,5,7,0.714,7,11,18,3,0,0,1,1,27,7.000
Darko Milicic,C,36:35,3,8,0.375,0,0,0.000,5,6,0.833,2,3,5,2,0,7,3,1,11,2.000
Wesley Johnson,G,26:01,5,9,0.556,1,1,1.000,0,0,0.000,1,4,5,1,0,1,2,5,11,3.000
Luke Ridnour,G,37:48,7,11,0.636,3,5,0.600,3,4,0.750,0,3,3,10,3,0,2,3,20,9.000
Corey Brewer,,32:38,4,14,0.286,0,4,0.000,2,2,1.000,0,3,3,3,3,0,2,2,10,21.000
Sebastian Telfair,,10:12,3,5,0.600,0,0,0.000,1,1,1.000,0,0,0,1,0,0,3,2,7,1.000
Nikola Pekovic,,10:36,2,3,0.667,0,0,0.000,2,2,1.000,1,0,1,0,0,2,1,2,6,8.000
Wayne Ellington,,16:33,2,3,0.667,1,1,1.000,0,0,0.000,0,0,0,0,1,0,0,2,5,6.000
Lazar Hayward,,3:47,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-3.000
