12-15,ORL-DEN,94-111,Team,
31-29,24-32,23-18,16-32,
ORL
Brandon Bass,F,26:33,5,11,0.455,0,0,0.000,0,0,0.000,0,3,3,0,0,0,2,1,10,2.000
Rashard Lewis,F,33:07,2,9,0.222,2,7,0.286,2,2,1.000,1,1,2,1,1,1,0,4,8,-23.000
Dwight Howard,C,37:20,9,15,0.600,0,1,0.000,3,5,0.600,4,10,14,1,0,2,4,4,21,-27.000
Vince Carter,G,32:01,6,15,0.400,2,4,0.500,4,4,1.000,0,2,2,2,2,1,0,5,18,-8.000
Jameer Nelson,G,37:28,1,10,0.100,0,4,0.000,2,2,1.000,1,2,3,8,1,0,4,2,4,-18.000
Marcin Gortat,,25:01,1,3,0.333,0,0,0.000,0,0,0.000,1,2,3,2,2,2,1,4,2,5.000
JJ Redick,,37:58,9,12,0.750,6,9,0.667,5,7,0.714,0,5,5,2,1,0,1,3,29,-17.000
Jason Williams,,10:32,1,3,0.333,0,2,0.000,0,0,0.000,0,2,2,4,0,0,1,0,2,1.000
DEN
Carmelo Anthony,F,37:54,14,21,0.667,0,2,0.000,7,11,0.636,1,10,11,2,0,0,6,2,35,17.000
Shelden Williams,F,21:17,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,0,0,2,0,3,2,-2.000
Nene,C,34:14,4,7,0.571,0,0,0.000,2,2,1.000,3,7,10,2,1,0,3,1,10,19.000
Arron Afflalo,G,38:41,6,10,0.600,3,4,0.750,0,0,0.000,1,3,4,4,1,0,0,2,15,23.000
Ty Lawson,G,33:32,6,12,0.500,1,4,0.250,3,3,1.000,0,3,3,6,1,0,2,2,16,11.000
Al Harrington,,29:29,4,10,0.400,4,10,0.400,0,0,0.000,0,7,7,3,0,0,0,2,12,17.000
J.R. Smith,,20:45,6,13,0.462,2,4,0.500,2,3,0.667,1,1,2,2,1,0,1,2,16,-2.000
Melvin Ely,,7:44,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,1,0,-1.000
Anthony Carter,,15:14,2,4,0.500,1,2,0.500,0,0,0.000,0,1,1,4,1,0,1,0,5,5.000
Gary Forbes,,1:10,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
