12-16,CHI-TOR,110-93,Team,
23-18,40-26,28-20,19-29,
CHI
Luol Deng,F,35:23,7,14,0.500,3,6,0.500,2,2,1.000,0,4,4,0,0,0,1,1,19,24.000
Carlos Boozer,F,25:56,13,17,0.765,0,0,0.000,8,11,0.727,3,9,12,3,2,1,1,3,34,23.000
Joakim Noah,C,26:13,4,6,0.667,0,0,0.000,3,4,0.750,3,8,11,0,0,2,2,2,11,23.000
Keith Bogans,G,16:20,2,2,1.000,1,1,1.000,1,2,0.500,0,2,2,1,0,0,0,0,6,15.000
Derrick Rose,G,29:37,3,9,0.333,0,2,0.000,0,0,0.000,2,1,3,11,2,0,5,0,6,22.000
Ronnie Brewer,,26:20,4,6,0.667,0,0,0.000,2,2,1.000,2,2,4,2,1,0,1,3,10,-7.000
Taj Gibson,,30:56,3,11,0.273,0,1,0.000,0,0,0.000,3,3,6,1,1,4,2,1,6,0.000
Kyle Korver,,21:02,5,11,0.455,3,7,0.429,0,1,0.000,0,0,0,6,1,0,0,0,13,4.000
CJ Watson,,18:23,1,4,0.250,0,1,0.000,1,2,0.500,0,4,4,4,0,0,2,3,3,-5.000
Omer Asik,,9:50,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,0,1,0,2,2,-14.000
TOR
Sonny Weems,F,30:07,3,10,0.300,0,2,0.000,1,2,0.500,0,2,2,5,1,0,4,1,7,-16.000
Ed Davis,F,32:15,5,9,0.556,0,0,0.000,0,0,0.000,5,5,10,2,1,1,1,3,10,-24.000
Amir Johnson,C,20:23,1,6,0.167,0,0,0.000,0,0,0.000,1,2,3,2,0,2,1,3,2,-24.000
DeMar DeRozan,G,30:43,4,12,0.333,0,0,0.000,4,4,1.000,0,0,0,0,2,1,1,3,12,-19.000
Jerryd Bayless,G,32:34,9,15,0.600,0,3,0.000,2,3,0.667,1,2,3,4,0,0,1,1,20,-27.000
Joey Dorsey,,28:32,5,8,0.625,0,0,0.000,2,2,1.000,5,8,13,2,0,2,1,3,12,9.000
Linas Kleiza,,18:00,2,9,0.222,0,3,0.000,0,0,0.000,1,2,3,0,0,0,0,1,4,6.000
Leandro Barbosa,,30:22,7,13,0.538,2,3,0.667,5,5,1.000,0,3,3,2,0,0,0,3,21,4.000
Julian Wright,,17:04,2,4,0.500,1,1,1.000,0,0,0.000,0,0,0,2,1,0,1,2,5,6.000
