12-30,DEN-MIN,119-113,Team,
23-30,30-29,29-24,37-30,
DEN
J.R. Smith,F,30:38,4,16,0.250,0,5,0.000,4,6,0.667,1,2,3,5,3,0,0,1,12,21.000
Shelden Williams,F,19:39,4,10,0.400,0,0,0.000,0,1,0.000,1,2,3,2,4,0,3,4,8,-1.000
Melvin Ely,C,20:05,2,3,0.667,0,0,0.000,0,0,0.000,5,1,6,2,0,0,0,2,4,-2.000
Arron Afflalo,G,38:08,6,12,0.500,2,6,0.333,3,4,0.750,1,5,6,4,1,1,1,1,17,11.000
Chauncey Billups,G,37:11,9,14,0.643,6,6,1.000,12,13,0.923,0,2,2,5,3,0,5,2,36,-2.000
Gary Forbes,,12:47,0,4,0.000,0,2,0.000,2,2,1.000,1,0,1,1,0,0,0,2,2,-7.000
Chris Andersen,,29:44,3,6,0.500,0,0,0.000,5,8,0.625,2,5,7,0,1,2,2,1,11,8.000
Renaldo Balkman,,18:35,4,5,0.800,0,0,0.000,2,2,1.000,1,0,1,1,0,1,0,5,10,0.000
Ty Lawson,,33:13,7,15,0.467,0,3,0.000,5,7,0.714,1,4,5,5,1,0,1,3,19,2.000
MIN
Michael Beasley,F,38:31,12,20,0.600,2,2,1.000,7,8,0.875,0,5,5,4,1,0,1,4,33,2.000
Kevin Love,F,39:28,9,19,0.474,0,1,0.000,8,8,1.000,6,8,14,5,0,0,2,5,26,-9.000
Darko Milicic,C,14:04,1,2,0.500,0,0,0.000,0,0,0.000,1,2,3,1,0,3,2,2,2,1.000
Wesley Johnson,G,30:54,4,11,0.364,2,6,0.333,0,0,0.000,0,1,1,5,2,0,2,3,10,-4.000
Luke Ridnour,G,36:30,8,10,0.800,1,1,1.000,3,3,1.000,0,4,4,8,2,0,4,5,20,-3.000
Nikola Pekovic,,19:38,2,5,0.400,0,0,0.000,0,0,0.000,2,4,6,2,0,3,2,3,4,1.000
Corey Brewer,,19:25,0,2,0.000,0,0,0.000,0,0,0.000,2,1,3,2,0,0,1,0,0,-5.000
Jonny Flynn,,11:30,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,1,1,0,2,0,0,-3.000
Martell Webster,,24:08,6,11,0.545,2,5,0.400,3,4,0.750,0,3,3,1,0,0,3,4,17,-3.000
Kosta Koufos,,2:49,0,3,0.000,0,0,0.000,1,2,0.500,2,0,2,0,0,0,0,0,1,-6.000
Wayne Ellington,,3:03,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-1.000
