01-03,WAS-BOS,92-100,Team,
24-23,24-24,22-22,22-31,
WAS
Rashard Lewis,F,39:49,4,10,0.400,1,3,0.333,0,0,0.000,5,1,6,1,2,1,0,3,9,1.000
Andray Blatche,F,38:06,10,20,0.500,0,0,0.000,8,10,0.800,3,6,9,1,2,2,1,2,28,-6.000
JaVale McGee,C,31:28,8,9,0.889,0,0,0.000,1,2,0.500,3,11,14,0,1,3,0,4,17,-9.000
Nick Young,G,31:57,3,14,0.214,0,4,0.000,4,4,1.000,1,1,2,1,0,0,1,1,10,-11.000
John Wall,G,40:11,4,13,0.308,0,0,0.000,3,4,0.750,0,3,3,8,2,2,7,2,11,-2.000
Jordan Crawford,,11:21,1,6,0.167,0,1,0.000,3,3,1.000,1,0,1,1,2,1,1,0,5,-4.000
Kevin Seraphin,,14:03,2,4,0.500,0,0,0.000,0,0,0.000,0,3,3,0,1,0,0,1,4,0.000
Trevor Booker,,11:53,0,1,0.000,0,0,0.000,0,0,0.000,0,4,4,0,0,1,0,2,0,0.000
Roger Mason Jr.,,13:02,2,4,0.500,1,2,0.500,0,0,0.000,0,0,0,2,0,0,0,1,5,0.000
Chris Singleton,,8:11,1,2,0.500,1,1,1.000,0,0,0.000,0,0,0,0,0,0,1,1,3,-9.000
BOS
Paul Pierce,F,34:44,8,18,0.444,4,9,0.444,1,1,1.000,1,7,8,4,1,0,3,2,21,9.000
Kevin Garnett,F,33:44,3,8,0.375,0,0,0.000,4,6,0.667,2,4,6,6,0,1,3,4,10,17.000
Greg Stiemsma,C,21:06,5,7,0.714,0,0,0.000,3,4,0.750,3,4,7,2,0,2,1,3,13,2.000
Ray Allen,G,34:51,9,16,0.563,6,7,0.857,3,5,0.600,0,2,2,2,1,0,0,2,27,13.000
Rajon Rondo,G,38:11,3,8,0.375,0,0,0.000,0,0,0.000,3,4,7,13,1,0,7,3,6,6.000
Brandon Bass,,31:09,7,13,0.538,0,0,0.000,0,0,0.000,0,6,6,1,0,0,0,5,14,5.000
Chris Wilcox,,10:01,0,2,0.000,0,0,0.000,0,2,0.000,2,2,4,0,0,1,0,2,0,-8.000
Marquis Daniels,,13:16,2,5,0.400,0,1,0.000,3,3,1.000,0,1,1,0,0,0,0,1,7,-1.000
Keyon Dooling,,13:13,1,3,0.333,0,2,0.000,0,0,0.000,0,0,0,0,0,0,1,0,2,-5.000
Avery Bradley,,9:45,0,3,0.000,0,1,0.000,0,0,0.000,1,1,2,0,0,0,0,1,0,2.000
