01-18,LAC-UTA,79-108,Team,
17-29,24-23,18-26,20-30,
LAC
Caron Butler,F,29:14,6,13,0.462,0,4,0.000,2,2,1.000,1,1,2,1,1,0,1,0,14,-14.000
Blake Griffin,F,27:04,5,12,0.417,0,0,0.000,0,0,0.000,3,8,11,3,0,1,1,2,10,-14.000
DeAndre Jordan,C,20:58,1,1,1.000,0,0,0.000,0,0,0.000,1,7,8,0,0,1,0,2,2,-7.000
Randy Foye,G,29:27,4,14,0.286,3,6,0.500,0,0,0.000,0,0,0,1,1,1,2,4,11,-26.000
Chauncey Billups,G,24:03,3,12,0.250,0,4,0.000,4,6,0.667,0,2,2,6,0,0,3,4,10,-4.000
Reggie Evans,,21:11,0,1,0.000,0,0,0.000,1,2,0.500,3,6,9,0,0,0,2,3,1,-18.000
Ryan Gomes,,28:29,4,6,0.667,0,2,0.000,0,0,0.000,1,1,2,1,1,0,0,1,8,-18.000
Courtney Fortson,,22:45,5,10,0.500,1,2,0.500,2,5,0.400,2,2,4,2,0,0,2,1,13,-16.000
Trey Thompkins,,19:16,2,10,0.200,0,2,0.000,3,4,0.750,0,4,4,1,1,0,1,2,7,-12.000
Travis Leslie,,10:02,1,6,0.167,0,0,0.000,0,0,0.000,2,0,2,2,0,1,1,1,2,-9.000
Solomon Jones,,7:31,0,0,0.000,0,0,0.000,1,2,0.500,0,1,1,0,0,1,0,1,1,-7.000
UTA
Gordon Hayward,F,17:38,0,4,0.000,0,1,0.000,3,4,0.750,0,3,3,0,0,0,1,0,3,0.000
Paul Millsap,F,30:05,7,11,0.636,0,0,0.000,6,6,1.000,1,5,6,1,2,0,0,3,20,22.000
Al Jefferson,C,26:25,4,14,0.286,0,0,0.000,2,2,1.000,2,11,13,4,1,0,1,2,10,8.000
Raja Bell,G,28:44,3,8,0.375,1,2,0.500,1,1,1.000,0,2,2,1,0,0,0,1,8,17.000
Devin Harris,G,25:41,5,9,0.556,1,2,0.500,2,2,1.000,0,1,1,4,0,0,3,1,13,10.000
Earl Watson,,17:39,1,1,1.000,0,0,0.000,1,2,0.500,2,2,4,3,2,2,1,2,3,20.000
Enes Kanter,,22:19,4,7,0.571,0,0,0.000,2,2,1.000,3,2,5,0,0,0,0,3,10,19.000
CJ Miles,,28:42,7,13,0.538,1,3,0.333,4,4,1.000,0,5,5,1,4,0,0,4,19,26.000
Alec Burks,,19:16,3,9,0.333,0,0,0.000,5,6,0.833,1,5,6,1,0,0,0,2,11,12.000
Jeremy Evans,,17:12,4,4,1.000,0,0,0.000,1,2,0.500,0,3,3,1,0,2,1,2,9,9.000
Jamaal Tinsley,,6:20,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,2,1,1,1,0,2,2.000
