01-21,SAC-SAS,88-86,Team,
32-20,18-27,23-20,15-19,
SAC
John Salmons,F,30:08,3,7,0.429,1,2,0.500,0,0,0.000,0,1,1,2,1,0,0,2,7,10.000
Jason Thompson,F,30:09,3,6,0.500,0,0,0.000,4,6,0.667,2,8,10,1,0,1,2,2,10,4.000
DeMarcus Cousins,C,27:33,7,12,0.583,0,0,0.000,3,4,0.750,4,9,13,2,4,0,2,4,17,0.000
Marcus Thornton,G,39:36,7,17,0.412,1,6,0.167,2,2,1.000,0,3,3,4,0,1,5,4,17,17.000
Tyreke Evans,G,43:01,10,19,0.526,1,3,0.333,2,5,0.400,3,8,11,7,1,0,2,3,23,10.000
Donte Greene,,10:59,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,0,1,0,0,0,3,-5.000
JJ Hickson,,23:42,3,6,0.500,0,0,0.000,0,2,0.000,4,2,6,0,1,0,2,2,6,-3.000
Jimmer Fredette,,11:37,1,4,0.250,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,2,3,-3.000
Francisco Garcia,,10:13,1,5,0.200,0,2,0.000,0,0,0.000,0,1,1,0,1,0,0,0,2,-7.000
Isaiah Thomas,,13:02,0,4,0.000,0,4,0.000,0,0,0.000,0,0,0,0,0,0,1,4,0,-13.000
SAS
Richard Jefferson,F,29:50,2,8,0.250,1,6,0.167,0,0,0.000,0,4,4,1,0,0,1,2,5,12.000
Tim Duncan,F,24:50,4,8,0.500,0,0,0.000,2,2,1.000,3,7,10,3,0,1,1,1,10,-16.000
DeJuan Blair,C,22:18,4,9,0.444,0,0,0.000,2,3,0.667,2,3,5,0,2,0,1,3,10,-7.000
Kawhi Leonard,G,21:08,0,3,0.000,0,3,0.000,4,4,1.000,2,3,5,2,1,0,1,0,4,-6.000
Tony Parker,G,39:11,8,18,0.444,1,2,0.500,7,8,0.875,0,2,2,6,2,0,3,1,24,0.000
Danny Green,,27:53,4,11,0.364,0,4,0.000,0,0,0.000,1,3,4,2,1,0,2,1,8,-7.000
Matt Bonner,,20:23,3,6,0.500,1,4,0.250,0,0,0.000,1,5,6,2,0,1,0,4,7,12.000
Tiago Splitter,,24:59,3,6,0.500,0,0,0.000,4,4,1.000,3,4,7,2,0,0,1,3,10,15.000
Gary Neal,,23:36,3,12,0.250,2,6,0.333,0,0,0.000,1,1,2,1,1,0,2,1,8,-2.000
Cory Joseph,,5:53,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-11.000
