01-30,SAS-DAL,100-101,Team,
18-24,22-27,18-18,33-22,9-10,
SAS
Richard Jefferson,F,27:50,5,9,0.556,2,6,0.333,0,3,0.000,1,6,7,2,1,1,1,1,12,-9.000
Tim Duncan,F,23:02,5,10,0.500,0,0,0.000,2,4,0.500,2,4,6,2,0,0,1,1,12,-6.000
DeJuan Blair,C,22:41,3,8,0.375,0,0,0.000,0,0,0.000,4,5,9,3,1,0,2,1,6,-8.000
Kawhi Leonard,G,23:47,3,9,0.333,0,0,0.000,0,0,0.000,2,4,6,1,0,0,0,1,6,-10.000
Tony Parker,G,27:33,2,11,0.182,1,2,0.500,4,6,0.667,1,0,1,4,0,0,2,1,9,-10.000
Tiago Splitter,,21:30,3,9,0.333,0,0,0.000,0,1,0.000,3,4,7,0,1,0,0,3,6,9.000
Gary Neal,,24:21,6,14,0.429,3,5,0.600,2,2,1.000,0,3,3,6,1,0,1,1,17,10.000
Matt Bonner,,24:56,3,5,0.600,2,4,0.500,0,0,0.000,0,1,1,1,0,0,0,3,8,5.000
Cory Joseph,,5:00,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-8.000
Danny Green,,23:53,4,8,0.500,2,4,0.500,0,0,0.000,1,3,4,0,3,1,0,1,10,9.000
James Anderson,,15:27,2,3,0.667,1,1,1.000,0,0,0.000,0,3,3,3,0,0,0,1,5,18.000
DAL
Shawn Marion,F,30:42,4,14,0.286,1,3,0.333,0,0,0.000,3,5,8,0,1,2,0,0,9,-3.000
Dirk Nowitzki,F,33:11,3,9,0.333,0,1,0.000,0,0,0.000,1,12,13,0,1,0,0,3,6,3.000
Brendan Haywood,C,26:15,1,2,0.500,0,0,0.000,1,2,0.500,4,4,8,0,0,5,2,2,3,2.000
Vince Carter,G,25:59,7,13,0.538,2,5,0.400,3,3,1.000,0,1,1,2,1,1,1,3,19,-2.000
Rodrigue Beaubois,G,32:39,7,16,0.438,0,3,0.000,0,0,0.000,0,3,3,6,0,3,1,2,14,4.000
Lamar Odom,,18:44,2,5,0.400,0,2,0.000,0,0,0.000,2,3,5,0,0,0,0,1,4,4.000
Jason Terry,,32:46,13,21,0.619,1,3,0.333,3,3,1.000,1,1,2,4,1,0,2,2,30,7.000
Delonte West,,15:29,1,6,0.167,0,1,0.000,0,0,0.000,0,3,3,0,0,0,0,0,2,-4.000
Ian Mahinmi,,20:23,2,4,0.500,0,0,0.000,0,0,0.000,3,4,7,0,0,1,1,3,4,-6.000
Dominique Jones,,3:53,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,0,0,-5.000
