02-03,NOH-SAS,81-93,Team,
22-23,23-21,23-27,13-22,
NOH
Trevor Ariza,F,32:58,2,10,0.200,1,2,0.500,0,0,0.000,0,3,3,2,0,2,4,2,5,-1.000
Jason Smith,F,30:39,2,11,0.182,0,0,0.000,2,2,1.000,2,5,7,0,0,2,1,1,6,-6.000
Emeka Okafor,C,20:58,4,7,0.571,0,0,0.000,0,0,0.000,2,3,5,0,0,0,0,5,8,2.000
DaJuan Summers,G,12:52,3,5,0.600,1,1,1.000,0,0,0.000,0,1,1,2,0,0,1,2,7,-5.000
Greivis Vasquez,G,33:49,7,14,0.500,0,1,0.000,2,4,0.500,2,1,3,5,2,0,2,3,16,-17.000
Carl Landry,,28:20,8,12,0.667,0,0,0.000,1,2,0.500,0,4,4,1,0,0,2,2,17,-17.000
Gustavo Ayon,,16:03,1,2,0.500,0,0,0.000,1,2,0.500,0,8,8,0,1,1,0,4,3,-3.000
Marco Belinelli,,29:01,3,6,0.500,1,3,0.333,4,4,1.000,0,1,1,1,0,0,1,0,11,-10.000
Carldell Johnson,,14:11,2,5,0.400,0,1,0.000,0,0,0.000,0,2,2,5,2,0,1,1,4,5.000
SAS
Richard Jefferson,F,24:24,3,7,0.429,1,4,0.250,0,0,0.000,0,3,3,0,1,0,0,1,7,2.000
Tim Duncan,F,22:28,6,8,0.750,0,0,0.000,7,7,1.000,4,5,9,1,2,1,1,2,19,11.000
DeJuan Blair,C,18:42,1,6,0.167,0,0,0.000,1,2,0.500,2,4,6,1,0,0,1,2,3,4.000
Gary Neal,G,29:00,3,9,0.333,1,4,0.250,0,0,0.000,0,4,4,2,1,0,0,4,7,11.000
Tony Parker,G,34:39,8,15,0.533,0,1,0.000,2,3,0.667,1,4,5,7,0,0,4,1,18,10.000
Kawhi Leonard,,11:53,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-4.000
Tiago Splitter,,28:20,7,9,0.778,0,0,0.000,2,3,0.667,3,4,7,1,0,1,1,3,16,13.000
Danny Green,,32:15,2,6,0.333,1,5,0.200,6,7,0.857,0,4,4,2,0,1,0,0,11,11.000
Cory Joseph,,13:21,1,3,0.333,0,0,0.000,2,4,0.500,0,0,0,2,0,0,1,1,4,2.000
Matt Bonner,,23:26,2,10,0.200,1,5,0.200,1,1,1.000,0,2,2,0,0,0,0,1,6,4.000
James Anderson,,1:32,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-4.000
