02-07,OKC-POR,111-107,Team,
29-31,31-21,25-27,18-24,8-4,
OKC
Kevin Durant,F,39:53,13,28,0.464,2,8,0.250,1,1,1.000,0,5,5,5,1,1,5,4,29,-1.000
Serge Ibaka,F,33:18,5,8,0.625,0,0,0.000,2,2,1.000,7,5,12,1,2,3,1,4,12,-2.000
Kendrick Perkins,C,31:09,3,7,0.429,0,0,0.000,0,1,0.000,3,6,9,0,1,0,2,4,6,-4.000
Daequan Cook,G,20:53,2,6,0.333,2,5,0.400,0,0,0.000,0,2,2,1,0,0,0,2,6,-1.000
Russell Westbrook,G,37:03,9,22,0.409,0,2,0.000,8,10,0.800,4,5,9,7,1,1,5,2,26,-3.000
James Harden,,35:39,5,11,0.455,1,5,0.200,6,6,1.000,1,3,4,1,0,1,5,2,17,4.000
Nick Collison,,19:46,0,0,0.000,0,0,0.000,2,2,1.000,1,3,4,1,1,0,1,4,2,-2.000
Reggie Jackson,,10:57,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,0,3,3.000
Nazr Mohammed,,11:22,1,2,0.500,0,0,0.000,0,0,0.000,1,6,7,0,0,0,0,3,2,6.000
POR
Gerald Wallace,F,34:01,2,8,0.250,0,2,0.000,0,0,0.000,0,4,4,4,1,0,2,5,4,1.000
LaMarcus Aldridge,F,38:32,14,25,0.560,0,1,0.000,9,9,1.000,1,4,5,3,1,1,4,0,37,0.000
Marcus Camby,C,28:07,4,11,0.364,0,0,0.000,0,0,0.000,7,7,14,3,0,0,0,2,8,-8.000
Wesley Matthews,G,35:05,6,9,0.667,2,5,0.400,4,5,0.800,1,2,3,4,2,0,3,1,18,1.000
Jamal Crawford,G,39:55,5,15,0.333,2,5,0.400,3,3,1.000,0,2,2,5,1,1,2,1,15,4.000
Nicolas Batum,,27:19,5,13,0.385,1,5,0.200,2,4,0.500,2,1,3,1,3,1,0,2,13,-4.000
Craig Smith,,9:28,1,1,1.000,0,0,0.000,0,3,0.000,1,1,2,0,0,0,0,2,2,0.000
Nolan Smith,,7:46,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,1,2,-2.000
Kurt Thomas,,19:47,2,3,0.667,0,0,0.000,0,0,0.000,1,2,3,2,0,0,0,3,4,8.000
