02-08,CHA-BOS,84-94,Team,
22-27,16-18,24-24,22-25,
CHA
Tyrus Thomas,F,19:52,1,6,0.167,0,0,0.000,0,0,0.000,1,2,3,0,0,1,0,1,2,-12.000
Boris Diaw,F,29:25,2,6,0.333,0,3,0.000,0,0,0.000,0,6,6,3,0,0,1,2,4,-17.000
Bismack Biyombo,C,21:43,1,5,0.200,0,0,0.000,1,2,0.500,0,2,2,0,0,0,0,0,3,-9.000
Reggie Williams,G,37:16,6,15,0.400,2,8,0.250,7,8,0.875,0,3,3,5,0,0,3,2,21,-18.000
Kemba Walker,G,39:08,5,13,0.385,1,4,0.250,5,5,1.000,2,5,7,2,0,0,4,2,16,-14.000
Byron Mullens,,25:58,5,11,0.455,0,0,0.000,1,2,0.500,0,6,6,1,2,0,0,1,11,2.000
Derrick Brown,,28:08,10,10,1.000,0,0,0.000,0,1,0.000,1,3,4,2,0,0,1,1,20,2.000
Cory Higgins,,9:11,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,1,0,1.000
DJ White,,12:52,1,2,0.500,0,0,0.000,2,2,1.000,0,0,0,2,0,0,0,1,4,3.000
Matt Carroll,,10:44,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,3,0,0,0,0,0,8.000
Eduardo Najera,,5:44,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,4.000
BOS
Paul Pierce,F,37:17,6,18,0.333,2,10,0.200,1,1,1.000,0,8,8,9,0,0,2,0,15,26.000
Kevin Garnett,F,26:37,10,15,0.667,0,1,0.000,2,2,1.000,0,7,7,1,0,1,1,1,22,2.000
Ray Allen,G,32:00,8,14,0.571,1,5,0.200,0,0,0.000,0,0,0,3,1,0,3,4,17,13.000
Rajon Rondo,G,33:01,4,8,0.500,0,1,0.000,2,2,1.000,0,0,0,14,1,0,0,0,10,20.000
Brandon Bass,,27:32,5,8,0.625,0,0,0.000,3,3,1.000,1,2,3,1,1,0,0,1,13,16.000
Chris Wilcox,,17:22,2,3,0.667,0,0,0.000,0,0,0.000,1,3,4,0,0,0,1,3,4,-1.000
Mickael Pietrus,,18:54,2,7,0.286,1,5,0.200,0,0,0.000,2,3,5,1,0,0,3,2,5,3.000
Avery Bradley,,15:19,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,1,0,1,1,2,4,-7.000
Sasha Pavlovic,,6:51,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-12.000
Greg Stiemsma,,1:53,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-5.000
JaJuan Johnson,,1:53,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-5.000
