02-11,MIA-WAS,106-89,Team,
23-19,29-23,22-25,32-22,
MIA
LeBron James,F,33:17,6,14,0.429,0,2,0.000,6,7,0.857,0,2,2,9,0,2,1,1,18,14.000
Chris Bosh,F,33:58,10,18,0.556,0,0,0.000,4,5,0.800,3,8,11,3,1,1,1,0,24,10.000
Joel Anthony,C,16:31,0,0,0.000,0,0,0.000,2,2,1.000,1,2,3,0,1,2,0,2,2,-3.000
Dwyane Wade,G,31:16,11,18,0.611,0,0,0.000,4,4,1.000,0,3,3,5,1,0,4,3,26,4.000
Mario Chalmers,G,24:41,0,3,0.000,0,3,0.000,0,0,0.000,0,3,3,1,1,0,2,1,0,3.000
Shane Battier,,23:09,6,9,0.667,3,6,0.500,0,0,0.000,1,4,5,1,1,1,0,1,15,23.000
Udonis Haslem,,22:48,2,6,0.333,0,0,0.000,1,1,1.000,1,11,12,2,0,1,2,3,5,12.000
Dexter Pittman,,11:27,1,1,1.000,0,0,0.000,0,0,0.000,1,3,4,0,1,0,1,4,2,5.000
Mike Miller,,17:39,2,4,0.500,2,3,0.667,0,0,0.000,1,1,2,0,2,0,1,2,6,9.000
Norris Cole,,21:15,2,7,0.286,0,0,0.000,4,4,1.000,0,0,0,1,1,0,2,4,8,14.000
Juwan Howard,,2:00,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-3.000
James Jones,,2:00,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
WAS
Chris Singleton,F,17:25,0,3,0.000,0,2,0.000,0,0,0.000,1,2,3,0,1,0,0,3,0,2.000
Trevor Booker,F,39:18,6,13,0.462,0,1,0.000,1,2,0.500,4,11,15,1,4,0,2,3,13,-14.000
JaVale McGee,C,35:19,10,18,0.556,0,0,0.000,4,7,0.571,4,9,13,1,0,1,1,2,24,-16.000
Nick Young,G,38:51,7,19,0.368,3,10,0.300,5,5,1.000,1,1,2,1,1,0,4,1,22,-5.000
John Wall,G,38:32,6,13,0.462,0,0,0.000,3,4,0.750,0,1,1,10,0,0,7,4,15,-10.000
Jan Vesely,,17:11,1,4,0.250,0,0,0.000,1,2,0.500,3,0,3,0,0,0,0,3,3,-8.000
Maurice Evans,,13:42,2,7,0.286,1,4,0.250,0,0,0.000,0,0,0,1,0,0,0,1,5,-12.000
Jordan Crawford,,27:47,2,12,0.167,0,4,0.000,2,6,0.333,1,2,3,6,0,0,2,3,6,-18.000
Roger Mason Jr.,,0:27,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Shelvin Mack,,9:28,0,0,0.000,0,0,0.000,1,2,0.500,1,2,3,1,0,0,0,0,1,-7.000
Kevin Seraphin,,2:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
